Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"Infinix GT 20 Pro (Mecha Blue, 256 GB)",Infinix, GT 20 Pro ,25999,4.3,2047,139,1,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,108MP (OIS) + 2MP + 2MP | 32MP Front Camera
"SAMSUNG Galaxy M14 4G (Arctic Blue, 64 GB)",SAMSUNG, Galaxy M14 4G ,8759,4.0,726,25,4,GB,64,GB,16.76 cm (6.6 inch) Display,6000 mAh Battery,50MP Rear Camera
"Google Pixel 7 Pro (Hazel, 128 GB)",Google, Pixel 7 Pro ,43999,4.3,5749,776,1,GB,128,GB,17.02 cm (6.7 inch) Quad HD+ Display,4926 mAh Battery,50MP + 48MP + 12MP | 10.8MP Front Camera
"POCO M6 5G (Orion Blue, 256 GB)",POCO, M6 5G ,11499,4.2,14533,749,8,GB,256,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"SAMSUNG Galaxy M14 4G (Sapphire Blue, 64 GB)",SAMSUNG, Galaxy M14 4G ,8470,4.0,726,25,4,GB,64,GB,16.76 cm (6.6 inch) Display,6000 mAh Battery,50MP Rear Camera
"IQOO z9x (Tornado Green, 128 GB)",IQOO, z9x ,14599,4.3,1153,47,6,GB,128,GB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,50MP + 2MP | 8MP Front Camera
"realme P1 Pro 5G (Parrot Blue, 256 GB)",realme, P1 Pro 5G ,21999,4.4,454,21,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP | 16MP Front Camera
"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)",SAMSUNG, Galaxy S23 5G ,48999,4.5,11964,1135,8,GB,128,GB,15.49 cm (6.1 inch) Full HD+ Display,3900 mAh Lithium Ion Battery,50MP + 10MP + 12MP | 12MP Front Camera
Kechaoda K115,Kechaoda, K11,1060,4.1,35866,2495,3,MB,32,MB,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,0.3MP + 0MP | 0MP Front Camera
"realme 12+ 5G (Pioneer Green, 128 GB)",realme, 12+ 5G ,20999,4.3,12043,1033,8,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 2MP | 16MP Front Camera
"REDMI 13c 5G (Startrail Green, 128 GB)",REDMI, 13c 5G ,11408,4.2,8895,408,6,GB,128,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
Kechaoda K115,Kechaoda, K11,1060,4.1,35866,2495,3,MB,32,MB,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,0.3MP + 0MP | 0MP Front Camera
Kechaoda K115,Kechaoda, K11,1060,4.1,35866,2495,3,MB,32,MB,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,0.3MP + 0MP | 0MP Front Camera
Nokia 105 Classic with Charger,Nokia, 105 Classic with Charge,1099,4.0,910,49,3,MB,32,MB,4.5 cm (1.77 inch) Display,800 mAh Battery,0MP Front Camera
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 256 GB)",OnePlus, Nord CE4 lite 5G ,21595,4.3,991,33,8,GB,256,GB,16.94 cm (6.67 inch) Display,5500 mAh Battery,50MP Rear Camera
KARBONN K531 Dual Sim Keypad Phone|1750 mAh Battery|0.3MP Camera|Expandable Upto 32 GB,KARBONN, K531 Dual Sim Keypad Phone|1750 mAh Battery|0.3MP Camera|Expandable Upto 32 G,1326,3.9,1530,111,3,GB,32,GB,6.1 cm (2.4 inch) Quarter QVGA Display,1800 mAh Battery,0.3MP Rear Camera
"IQOO Z9x (Tornado Green, 128 GB)",IQOO, Z9x ,13029,4.1,331,10,4,GB,128,GB,17.07 cm (6.72 inch) Display,6000 mAh Battery,50MP Rear Camera
Nokia 105 Classic with Charger,Nokia, 105 Classic with Charge,1099,4.0,910,49,3,MB,32,MB,4.5 cm (1.77 inch) Display,800 mAh Battery,0MP Front Camera
"Infinix Note 40 Pro 5G (Vintage Green, 256 GB)",Infinix, Note 40 Pro 5G ,21999,4.0,8192,619,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,108MP (OIS) + 2MP + 2MP | 32MP Front Camera
"LAVA Hero Glow DS Keypad Mobile, FM Radio, Call Recording,Expandable Upto 32 GB",LAVA," Hero Glow DS Keypad Mobile, FM Radio, Call Recording,Expandable Upto 32 G",895,4.1,488,28,4,GB,3,GB,4.57 cm (1.8 inch) QVGA Display,,
"CMF by Nothing Phone 1 (Orange, 128 GB)",CMF, by Nothing Phone 1 ,15999,4.4,7279,639,6,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"Infinix GT 20 Pro (Mecha Silver, 256 GB)",Infinix, GT 20 Pro ,25999,4.3,2047,139,1,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,108MP (OIS) + 2MP + 2MP | 32MP Front Camera
"REDMI 13c 5G (Starlight Black, 128 GB)",REDMI, 13c 5G ,10351,4.3,12928,426,4,GB,128,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
Jio B1 Keypad Phone (UPI) Locked,Jio, B1 Keypad Phone ,1589,3.5,1918,62,5,MB,50,MB,6.1 cm (2.4 inch) VGA Display,2000 mAh Battery,0.3MP + 0MP | 0MP Front Camera
