Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"realme Narzo 70 Pro 5G (Green, Glass Green, 128 GB)",realme, Narzo 70 Pro 5G ,17222,4.3,2289,157,8,GB,128,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
"Apple iPhone 15 Plus (Pink, 128 GB)",Apple, iPhone 15 Plus ,73999,4.6,7608,633,,GB,,GB,17.02 cm (6.7 inch) Super Retina XDR Display,,48MP + 12MP | 12MP Front Camera
"realme Narzo 70 Pro 5G (Gold, Glass Gold, 128 GB)",realme, Narzo 70 Pro 5G ,17268,4.3,2289,157,8,GB,128,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera | 16MP Front Camera
"realme C51 (Mint Green, 64 GB)",realme, C51 ,8999,4.3,87388,3664,4,GB,64,GB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,50MP + 0.08MP | 5MP Front Camera
"REDMI A3 (Olive Green, 64 GB)",REDMI, A3 ,7178,4.1,2232,94,3,GB,64,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"realme C51 (Mint Green, 128 GB)",realme, C51 ,9499,4.3,87388,3664,4,GB,128,GB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,50MP + 0.08MP | 5MP Front Camera
"REDMI Note 13 5G (Stealth Black, 256 GB)",REDMI, Note 13 5G ,19945,4.1,2029,126,1,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 16MP Front Camera
"Google Pixel 7 (Obsidian, 128 GB)",Google, Pixel 7 ,37999,4.3,14973,1775,8,GB,128,GB,16.0 cm (6.3 inch) Full HD+ Display,4270 mAh Battery,50MP + 12MP | 10.8MP Front Camera
"SAMSUNG Galaxy S23 FE (Purple, 256 GB)",SAMSUNG, Galaxy S23 FE ,44999,4.3,10926,736,8,GB,256,GB,16.26 cm (6.4 inch) Full HD+ Display,4500 mAh Battery,50MP + 12MP | 10MP Front Camera
"REDMI A3 (Midnight Black, 128 GB)",REDMI, A3 ,7899,4.1,950,37,4,GB,128,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"POCO F6 5G (Black, 512 GB)",POCO, F6 5G ,31999,4.2,1407,149,1,GB,512,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP (OIS) + 8MP | 20MP Front Camera
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)",SAMSUNG, Galaxy M14 5G ,13790,4.2,24516,1537,6,GB,128,GB,16.76 cm (6.6 inch) Display,6000 mAh Battery,50MP Rear Camera
"realme Narzo N65 5G (Amber Gold, 128 GB)",realme, Narzo N65 5G ,11958,4.3,626,11,6,GB,128,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
"realme NARZO N65 5G (AMBER GOLD, 128 GB)",realme, NARZO N65 5G ,12350,4.3,626,11,6,GB,128,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
"REDMI 13 5G (Orchid Pink, 128 GB)",REDMI, 13 5G ,15365,4.1,29,1,8,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5030 mAh Battery,108MP Rear Camera
Micromax S117,Micromax, S11,995,3.8,118,6,3,MB,32,MB,4.5 cm (1.77 inch) Display,1750 mAh Battery,0.08MP Rear Camera
Micromax S117,Micromax, S11,995,3.8,118,6,3,MB,32,MB,4.5 cm (1.77 inch) Display,1750 mAh Battery,0.08MP Rear Camera
KARBONN KX3 Star DS Keypad Mobile|1000 mAh Battery|0.3MP Camera|Expandable Upto 32 GB,KARBONN, KX3 Star DS Keypad Mobile|1000 mAh Battery|0.3MP Camera|Expandable Upto 32 G,959,3.7,157,13,3,GB,32,GB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
Micromax X416,Micromax, X41,930,4.0,900,71,3,MB,32,MB,4.5 cm (1.77 inch) Display,1000 mAh Battery,0.3MP Rear Camera
"OnePlus 12R (Iron Gray, 256 GB)",OnePlus, 12R ,37900,4.5,4208,290,8,GB,256,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
"realme C53 (Champion Gold, 64 GB)",realme, C53 ,10999,4.4,128569,5826,6,GB,64,GB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,108MP + 2MP | 8MP Front Camera
"POCO X6 5G (Skyline Blue, 256 GB)",POCO, X6 5G ,20999,4.3,3547,378,1,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"REDMI Note 13 Pro+ 5G (Fusion Purple, 256 GB)",REDMI, Note 13 Pro+ 5G ,30999,4.2,7472,835,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"OnePlus 12R (Cool Blue, 256 GB)",OnePlus, 12R ,42675,4.5,2182,140,1,GB,256,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
