Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
Jio B1 Keypad Phone (UPI) Locked,Jio, B1 Keypad Phone ,1589,3.5,1918,62,5,MB,50,MB,6.1 cm (2.4 inch) VGA Display,2000 mAh Battery,0.3MP + 0MP | 0MP Front Camera
"itel A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging (Starlish Black, 64 GB)",itel, A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging ,6419,4.2,1342,57,4,GB,64,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,13MP Rear Camera
"realme 12+ 5G (Navigator Beige, 256 GB)",realme, 12+ 5G ,21999,4.3,12043,1033,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 2MP | 16MP Front Camera
"IQOO Z9x (Storm Grey, 128 GB)",IQOO, Z9x ,13211,4.1,331,10,4,GB,128,GB,17.07 cm (6.72 inch) Display,6000 mAh Battery,50MP Rear Camera
"realme 12+ 5G (Pioneer Green, 256 GB)",realme, 12+ 5G ,21999,4.3,12043,1033,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 2MP | 16MP Front Camera
"realme 12+ 5G (Navigator Beige, 128 GB)",realme, 12+ 5G ,20999,4.3,12043,1033,8,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 2MP | 16MP Front Camera
"realme Narzo 70 Pro 5G (Glass Gold, 256 GB)",realme, Narzo 70 Pro 5G ,17990,4.3,2289,157,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
"realme Narzo N63 4G (Leather Blue, 128 GB)",realme, Narzo N63 4G ,8597,3.9,628,14,4,GB,128,GB,17.13 cm (6.745 inch) Display,5000 mAh Battery,50MP Rear Camera
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",SAMSUNG, Galaxy F14 5G ,10990,4.2,45415,2979,4,GB,128,GB,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Battery,50MP + 2MP | 13MP Front Camera
"itel A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging (Azure Blue, 64 GB)",itel, A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging ,6499,4.2,1342,57,4,GB,64,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,13MP Rear Camera
Nokia TA-1304/105 SS,Nokia, TA-1304/105 S,,4.2,63821,4884,4,MB,4,MB,4.5 cm (1.77 inch) Display,,
"REDMI Note 13 5G (Prism Gold, 128 GB)",REDMI, Note 13 5G ,,4.2,10577,639,6,GB,128,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,108MP Rear Camera
"REDMI 13c 5G (Startrail Green, 256 GB)",REDMI, 13c 5G ,,4.2,3996,197,8,GB,256,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 256 GB)",OnePlus, Nord CE4 lite 5G ,,4.3,991,33,8,GB,256,GB,16.94 cm (6.67 inch) Display,5500 mAh Battery,50MP Rear Camera
"OnePlus 12R (Cool Blue, 256 GB)",OnePlus, 12R ,,4.5,4208,290,8,GB,256,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
"REDMI Note 13 5G (Prism Gold, 256 GB)",REDMI, Note 13 5G ,,4.1,2029,126,1,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,108MP Rear Camera
"itel A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging (Brilliant Gold, 64 GB)",itel, A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging ,,4.2,1342,57,4,GB,64,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,13MP Rear Camera
itel it5027,itel, it502,,4.0,564,37,4,MB,4,MB,6.1 cm (2.4 inch) NA Display,1200 mAh Battery,0.3MP + 0MP | 0MP Front Camera
"POCO X6 Neo 5G (Astral Black, 128 GB)",POCO, X6 Neo 5G ,,4.2,9012,766,8,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 16MP Front Camera
"realme Narzo 70 Pro 5G (Glass Green, 256 GB)",realme, Narzo 70 Pro 5G ,,4.3,2289,157,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
"OnePlus Nord CE4 (Celadon Marble, 128 GB)",OnePlus, Nord CE4 ,,4.5,9930,544,8,GB,128,GB,17.02 cm (6.7 inch) Display,5500 mAh Battery,50MP Rear Camera
"OnePlus Nord CE4 (Dark Chrome, 128 GB)",OnePlus, Nord CE4 ,,4.5,9930,544,8,GB,128,GB,17.02 cm (6.7 inch) Display,5500 mAh Battery,50MP Rear Camera
itel Circle 1,itel, Circle ,,4.1,578,24,3,MB,32,MB,3.35 cm (1.32 inch) Display,500 mAh Battery,0.3MP Rear Camera
"REDMI 13c 5G (Startrail Silver, 128 GB)",REDMI, 13c 5G ,,4.3,12928,426,4,GB,128,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
