Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"POCO F4 5G (Night Black, 128 GB)",POCO, F4 5G ,27999,4.3,13589,1834,6,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,4500 mAh Lithium-ion Polymer Battery,64MP + 8MP + 2MP | 20MP Front Camera
LAVA A5 Blue silver S,LAVA, A5 Blue silver ,1599,4.1,2816,256,3,MB,24,MB,6.1 cm (2.4 inch) QVGA Display,1000 mAh Li-ion Battery,0.3MP Rear Camera
"Xiaomi 14 CIVI (Panda White, 512 GB)",Xiaomi, 14 CIVI ,48999,4.3,211,23,1,GB,512,GB,16.64 cm (6.55 inch) Display,4700 mAh Battery,50MP Rear Camera | 32MP + 32MP Dual Front Camera
Micromax S213,Micromax, S21,1283,3.9,265,5,3,MB,32,MB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.08MP Rear Camera
Good One Magic,Good, One Magi,1567,4.0,4082,324,3,MB,32,MB,4.32 cm (1.7 inch) Display,1050 mAh Battery,2MP Rear Camera
"POCO X6 5G (Mirror Black, 256 GB)",POCO, X6 5G ,20999,4.3,3547,378,1,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"OPPO Reno 12 Pro 5G (Sunset Gold, 512 GB)",OPPO, Reno 12 Pro 5G ,40999,4.4,607,52,1,GB,512,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 50MP | 50MP Front Camera
"OPPO Reno 12 Pro 5G (Space Brown, 512 GB)",OPPO, Reno 12 Pro 5G ,40999,4.4,607,52,1,GB,512,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 50MP | 50MP Front Camera
"Google Pixel 7a (Sea, 128 GB)",Google, Pixel 7a ,37999,4.1,19808,2088,8,GB,128,GB,15.49 cm (6.1 inch) Full HD+ Display,4300 mAh Battery,64MP (OIS) + 13MP | 13MP Front Camera
"OPPO A3 Pro 5G (Moonlight Purple, 256 GB)",OPPO, A3 Pro 5G ,19999,4.2,320,17,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,50MP + 2MP | 8MP Front Camera
"REDMI Note 13 Pro+ 5G (Fusion Purple, 512 GB)",REDMI, Note 13 Pro+ 5G ,31988,4.2,5764,581,1,GB,512,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"REDMI A2 (Aqua Blue, 64 GB)",REDMI, A2 ,6999,4.2,22741,1248,4,GB,64,GB,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"Apple iPhone 12 (Black, 64 GB)",Apple, iPhone 12 ,38999,4.6,210419,13888,,GB,,GB,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP | 12MP Front Camera
Good One Magic,Good, One Magi,1567,4.0,4082,324,3,MB,32,MB,4.32 cm (1.7 inch) HQVGA Display,1050 mAh Battery,2MP Rear Camera
"Apple iPhone 13 (Starlight, 128 GB)",Apple, iPhone 13 ,52999,4.6,283149,13688,,GB,,GB,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP | 12MP Front Camera
"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)",SAMSUNG, Galaxy S24+ 5G ,99999,4.5,143,18,1,GB,256,GB,17.02 cm (6.7 inch) Quad HD+ Display,4900 mAh Battery,50MP + 10MP + 12MP | 12MP Front Camera
"Vox King Talking, Contact icon and Auto Call Recording",Vox," King Talking, Contact icon and Auto Call Recordin",830,3.2,920,62,3,MB,32,MB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.3MP Rear Camera
"REDMI Note 13 Pro+ 5G (Fusion White, 256 GB)",REDMI, Note 13 Pro+ 5G ,29180,4.2,5764,581,1,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"Motorola G60 (Frosted Champagne, 128 GB)",Motorola, G60 ,14999,4.1,78499,7700,6,GB,128,GB,17.22 cm (6.78 inch) Full HD+ Display,6000 mAh Battery,108MP + 8MP + 2MP | 32MP Front Camera
"Apple iPhone 13 (Pink, 128 GB)",Apple, iPhone 13 ,52999,4.6,283149,13688,,GB,,GB,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP | 12MP Front Camera
"REDMI 12 (Moonstone Silver, 128 GB)",REDMI, 12 ,9298,4.3,103566,5504,4,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 2MP | 8MP Front Camera
I Kall K3310,I, Kall K331,729,3.6,66336,7499,3,MB,64,MB,4.57 cm (1.8 inch) Display,800 mAh Battery,0.3MP Rear Camera
"OPPO A59 5G (Silk Gold, 128 GB)",OPPO, A59 5G ,15499,4.3,1994,102,6,GB,128,GB,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,13MP + 2MP | 8MP Front Camera
SHINNEE 310,SHINNEE, 31,556,3.1,11,1,3,MB,32,MB,4.5 cm (1.77 inch) Display,1000 mAh Battery,0.3MP Rear Camera
