Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"Nothing Phone (2a) 5G (White, 256 GB)",Nothing, Phone ,27999,4.4,6051,607,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP (OIS) + 50MP | 32MP Front Camera
KARBONN K531 Dual Sim Keypad Phone|1750 mAh Battery|0.3MP Camera|Expandable Upto 32 GB,KARBONN, K531 Dual Sim Keypad Phone|1750 mAh Battery|0.3MP Camera|Expandable Upto 32 G,1279,3.9,1530,111,3,GB,32,GB,6.1 cm (2.4 inch) QVGA Display,1800 mAh Battery,2MP Rear Camera
"realme NARZO 70X 5G (Forest Green, 128 GB)",realme, NARZO 70X 5G ,14490,4.2,150,9,8,GB,128,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,50MP Rear Camera
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 128 GB)",OnePlus, Nord CE4 lite 5G ,18589,4.3,991,33,8,GB,128,GB,16.94 cm (6.67 inch) Display,5500 mAh Battery,50MP Rear Camera
"IQOO Z7 Pro 5G (Graphite Matte, 256 GB)",IQOO, Z7 Pro 5G ,23999,4.4,5486,343,8,GB,256,GB,17.22 cm (6.78 inch) Display,4600 mAh Battery,64MP + 2MP | 16MP Front Camera
KARBONN K9 Yodha�Dual Sim Keypad Mobile|1800 mAh Battery|Expandable Memory up to 32GB,KARBONN, K9 Yodha�Dual Sim Keypad Mobile|1800 mAh Battery|Expandable Memory up to 32G,1250,3.7,287,11,6,GB,32,GB,4.57 cm (1.8 inch) QVGA Display,1800 mAh Battery,2MP Rear Camera
LAVA Hero Shakti Keypad Mobile|1.8 inch Big Display|Auto Call Recording|Wireless FM,LAVA, Hero Shakti Keypad Mobile|1.8 inch Big Display|Auto Call Recording|Wireless F,897,4.4,29,0,,MB,,MB,4.57 cm (1.8 inch) Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,
"REDMI Note 13 Pro 5G (Arctic White, 256 GB)",REDMI, Note 13 Pro 5G ,25495,4.2,2516,225,1,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"SAMSUNG Galaxy S23 5G (Green, 128 GB)",SAMSUNG, Galaxy S23 5G ,48999,4.5,11964,1135,8,GB,128,GB,15.49 cm (6.1 inch) Full HD+ Display,3900 mAh Lithium Ion Battery,50MP + 10MP + 12MP | 12MP Front Camera
"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)",Motorola, Edge 50 Pro 5G with 125W Charger ,35999,4.4,7929,677,1,GB,256,GB,17.02 cm (6.7 inch) Display,4500 mAh Battery,50MP + 13MP + 10MP | 50MP Front Camera
LAVA A3 vibe,LAVA, A3 vib,1212,4.2,21421,2247,0,MB,,MB,4.5 cm (1.77 inch) Display,1750 mAh Battery,0.3MP Rear Camera | 0.3MP Front Camera
Kechaoda K115,Kechaoda, K11,1060,4.1,35866,2495,3,MB,32,MB,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,0.3MP + 0MP | 0MP Front Camera
"Nothing Phone (2a) 5G (Black, 256 GB)",Nothing, Phone ,27999,4.4,6051,607,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP (OIS) + 50MP | 32MP Front Camera
