Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"POCO X6 Pro 5G (Racing Grey, 512 GB)",POCO, X6 Pro 5G ,25999,4.3,8782,1142,1,GB,512,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"Tecno Spark 10 Pro (Lunar Eclipse, 128 GB)",Tecno, Spark 10 Pro ,8999,4.2,619,23,8,GB,128,GB,16.97 cm (6.68 inch) Full HD+ Display,5000 mAh Battery,50MP Rear Camera | 32MP Front Camera
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)",OPPO, K12x 5G with 45W SUPERVOOC Charger In-The-Box ,15999,0.0,0,0,8,GB,256,GB,16.94 cm (6.67 inch) HD Display,5100 mAh Battery,32MP + 2MP | 8MP Front Camera
"realme 13 Pro 5G (Monet Gold, 128 GB)",realme, 13 Pro 5G ,26999,3.7,6,0,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5200 mAh Battery,50MP + 8MP + 2MP | 32MP Front Camera
"REDMI 13C 5G (Startrail Silver, 256 GB)",REDMI, 13C 5G ,13999,4.2,3996,197,8,GB,256,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)",OnePlus, Nord CE4 lite 5G ,19799,4.3,991,33,8,GB,128,GB,16.94 cm (6.67 inch) Display,5500 mAh Battery,50MP Rear Camera
"Xiaomi 14 CIVI (Panda White, 512 GB)",Xiaomi, 14 CIVI ,48999,4.3,211,23,1,GB,512,GB,16.64 cm (6.55 inch) Display,4700 mAh Battery,50MP Rear Camera | 32MP + 32MP Dual Front Camera
"Xiaomi 14 CIVI (Hot Pink, 512 GB)",Xiaomi, 14 CIVI ,48999,4.3,211,23,1,GB,512,GB,16.64 cm (6.55 inch) Display,4700 mAh Battery,50MP Rear Camera | 32MP + 32MP Dual Front Camera
"OnePlus Nord CE4 lite 5G (ULTRA ORANGE, 128 GB)",OnePlus, Nord CE4 lite 5G ,20490,4.3,991,33,8,GB,128,GB,16.94 cm (6.67 inch) Display,5500 mAh Battery,50MP Rear Camera
"Motorola G34 5G (Ocean Green, 128 GB)",Motorola, G34 5G ,10999,4.2,40675,3086,4,GB,128,GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"REDMI Note 13 5G (Prism Gold, 256 GB)",REDMI, Note 13 5G ,17475,4.1,5482,316,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP Rear Camera
itel Circle 1,itel, Circle ,1349,4.1,578,24,3,MB,32,MB,3.35 cm (1.32 inch) Display,500 mAh Battery,0.3MP Rear Camera
"Xiaomi 14 CIVI (Aqua Blue, 512 GB)",Xiaomi, 14 CIVI ,48999,4.3,211,23,1,GB,512,GB,16.64 cm (6.55 inch) Display,4700 mAh Battery,50MP Rear Camera | 32MP + 32MP Dual Front Camera
"REDMI 12 5G (Moonstone Silver, 256 GB)",REDMI, 12 5G ,13999,4.2,23397,1400,8,GB,256,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
Kechaoda K115,Kechaoda, K11,1060,4.1,35866,2495,3,MB,32,MB,3.66 cm (1.44 inch) NA Display,850 mAh Battery,0.3MP + 0MP | 0MP Front Camera
