Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"POCO C61 (Ethereal Blue, 128 GB)",POCO, C61 ,8499,4.2,7871,235,6,GB,128,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"SAMSUNG Galaxy A15 5G (Blue, 256 GB)",SAMSUNG, Galaxy A15 5G ,22499,4.2,1331,90,8,GB,256,GB,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Battery,50MP + 5MP + 2MP | 13MP Front Camera
"SAMSUNG Galaxy A14 5G (Black, 128 GB)",SAMSUNG, Galaxy A14 5G ,16499,4.1,3459,267,8,GB,128,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium Ion Battery,50MP + 2MP | 13MP Front Camera
"OnePlus 11R 5G (Red, Solar Red, 128 GB)",OnePlus, 11R 5G ,32452,4.5,8193,623,8,GB,128,GB,17.02 cm (6.7 inch) Display,5000 mAh Battery,50MP Rear Camera
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",SAMSUNG, Galaxy F14 5G ,11990,4.2,118628,8448,6,GB,128,GB,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Battery,50MP + 2MP | 13MP Front Camera
"Nokia C32 (Beach Pink, 128 GB)",Nokia, C32 ,7999,3.8,1330,113,4,GB,128,GB,16.55 cm (6.517 inch) Full HD+ Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
Jmax J30,Jmax, J3,789,3.6,1121,80,3,MB,32,MB,4.57 cm (1.8 inch) Display,1050 mAh Battery,2MP Rear Camera
"REDMI A3 (Olive Green, 128 GB)",REDMI, A3 ,8662,4.0,596,34,6,GB,128,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
Micromax S116,Micromax, S11,889,3.9,339,14,3,MB,32,MB,4.5 cm (1.77 inch) Display,,
Vox V18,Vox, V1,679,3.3,81,3,3,MB,32,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
SAREGAMA Carvaan Mobile Bengali Don M22 with 1000 Pre-Loaded Songs,SAREGAMA, Carvaan Mobile Bengali Don M22 with 1000 Pre-Loaded Song,2090,4.2,13,0,3,MB,,MB,6.1 cm (2.4 inch) Display,1500 mAh Battery,0.3MP Rear Camera
"vivo Y18 (Gem Green, 128 GB)",vivo, Y18 ,13999,4.0,494,16,4,GB,128,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,50MP + 0.08MP | 8MP Front Camera
KARBONN JIO BHARAT A1,KARBONN, JIO BHARAT A,1439,3.2,163,8,5,MB,56,MB,6.1 cm (2.4 inch) FWVGA Display,2000 mAh Battery,0.03MP Rear Camera
"OPPO A18 (Glowing Blue, 64 GB)",OPPO, A18 ,8999,4.3,1432,70,4,GB,64,GB,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,8MP + 2MP | 5MP Front Camera
"REDMI A3 (Lake Blue, 64 GB)",REDMI, A3 ,6999,4.1,2232,94,3,GB,64,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"Google Pixel 8a (Porcelain, 128 GB)",Google, Pixel 8a ,52999,4.1,847,100,8,GB,128,GB,15.49 cm (6.1 inch) Full HD+ Display,4404 mAh Battery,64MP + 13MP | 13MP Front Camera
Micromax X513+,Micromax, X513,1019,3.8,4388,273,3,MB,32,MB,4.5 cm (1.77 inch) Display,1750 mAh Battery,0.3MP Rear Camera
"POCO M4 Pro (Cool Blue, 64 GB)",POCO, M4 Pro ,8999,4.3,187904,15829,6,GB,64,GB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,5000 mAh Lithium-ion Polymer Battery,64MP + 8MP + 2MP | 16MP Front Camera
"OPPO Reno 12 Pro 5G (Sunset Gold, 256 GB)",OPPO, Reno 12 Pro 5G ,36999,4.4,607,52,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 50MP | 50MP Front Camera
"OnePlus 11R 5G (Sonic Black, 256 GB)",OnePlus, 11R 5G ,39980,4.5,12904,869,1,GB,256,GB,17.02 cm (6.7 inch) Display,5000 mAh Battery,50MP Rear Camera
"Redmi Note 4 (Gold, 64 GB)",Redmi, Note 4 ,12749,4.4,1340456,210352,4,GB,64,GB,13.97 cm (5.5 inch) Full HD Display,4100 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera
"REDMI Note 12 5G (Mystique Blue, 256 GB)",REDMI, Note 12 5G ,18999,4.1,5310,415,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,5000 mAh Battery,48MP + 8MP + 2MP | 13MP Front Camera
GFive Rose 314,GFive, Rose 31,710,3.2,16,0,3,MB,64,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
"REDMI Note 13 Pro 5G (Arctic White, 128 GB)",REDMI, Note 13 Pro 5G ,24999,4.3,17032,1520,8,GB,128,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
