Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)",SAMSUNG, Galaxy F15 5G ,15999,4.2,2647,115,8,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,50MP + 5MP + 2MP | 13MP Front Camera
"realme GT 6 (Fluid Silver, 256 GB)",realme, GT 6 ,42999,4.5,173,16,1,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5500 mAh Battery,50MP + 8MP + 50MP | 32MP Front Camera
"realme GT 6 (Razor Green, 256 GB)",realme, GT 6 ,42999,4.5,173,16,1,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5500 mAh Battery,50MP + 8MP + 50MP | 32MP Front Camera
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",Nokia," 105 Single SIM, Keypad Mobile Phone with Wireless FM Radi",1449,4.1,107262,6652,3,MB,32,MB,4.5 cm (1.77 inch) QVGA Display,800 mAh Lithium Ion Battery,0MP Front Camera
"realme GT 6T 5G (Razor Green, 512 GB)",realme, GT 6T 5G ,38548,4.4,180,15,1,GB,512,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
I Kall K16 NEW,I, Kall K16 NE,699,3.5,1300,63,3,MB,32,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",SAMSUNG, Galaxy A14 5G ,16499,4.1,3459,267,8,GB,128,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium Ion Battery,50MP + 2MP | 13MP Front Camera
Kechaoda A27,Kechaoda, A2,999,4.0,10996,693,3,MB,32,MB,1.68 cm (0.66 inch) QVGA Display,800 mAh Battery,0MP | 0MP Front Camera
"REDMI Note 13 Pro 5G (Coral Purple, 256 GB)",REDMI, Note 13 Pro 5G ,27999,4.2,2516,225,1,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"REDMI Note 13 Pro 5G (Coral Purple, 128 GB)",REDMI, Note 13 Pro 5G ,23342,4.3,17032,1520,8,GB,128,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"REDMI Note 13 5G (Stealth Black, 256 GB)",REDMI, Note 13 5G ,17489,4.1,5482,316,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,108MP Rear Camera
"Nokia 150 Dual Sim Keypad Phone, Rear Camera, Long Lasting Battery Life and FM Radio",Nokia," 150 Dual Sim Keypad Phone, Rear Camera, Long Lasting Battery Life and FM Radi",3199,3.7,1016,69,4,MB,4,MB,6.1 cm (2.4 inch) Display,1450 mAh Battery,0.3MP Rear Camera | 0MP Front Camera
"IQOO Z9 5G (Graphene Blue, 256 GB)",IQOO, Z9 5G ,21994,4.4,1708,89,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
"LAVA O2 (Majestic Purple, 128 GB)",LAVA, O2 ,8299,4.1,73,2,8,GB,128,GB,16.51 cm (6.5 inch) Display,5000 mAh Battery,50MP Rear Camera
"LAVA O2 (Imperial Green, 128 GB)",LAVA, O2 ,8299,4.1,73,2,8,GB,128,GB,16.51 cm (6.5 inch) Display,5000 mAh Battery,50MP Rear Camera
Nokia 105 Classic with Charger,Nokia, 105 Classic with Charge,1599,4.0,910,49,3,MB,32,MB,4.5 cm (1.77 inch) Display,800 mAh Battery,0MP Front Camera
Nokia 105,Nokia, 10,1651,3.4,733,37,3,MB,32,MB,4.5 cm (1.77 inch) Display,5000 mAh Battery,0MP | 0MP Front Camera
"REDMI A3X (Ocean Green, 64 GB)",REDMI, A3X ,6999,4.3,77,3,3,GB,64,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"Tecno POVA 5 Pro 5G (Dark Illusion, 256 GB)",Tecno, POVA 5 Pro 5G ,15999,4.2,2069,112,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 0.08MP | 16MP Front Camera
"realme 13 Pro+ 5G (Emerald Green, 512 GB)",realme, 13 Pro+ 5G ,36999,5.0,4,0,1,GB,512,GB,17.02 cm (6.7 inch) Full HD+ Display,5200 mAh Battery,50MP + 8MP + 50MP | 32MP Front Camera
"realme GT 6T 5G (Fluid Silver, 128 GB)",realme, GT 6T 5G ,28646,4.4,553,32,8,GB,128,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
"realme 13 Pro+ 5G (Monet Gold, 512 GB)",realme, 13 Pro+ 5G ,36999,5.0,4,0,1,GB,512,GB,17.02 cm (6.7 inch) Full HD+ Display,5200 mAh Battery,50MP + 8MP + 50MP | 32MP Front Camera
"POCO X6 Pro 5G (Yellow, 256 GB)",POCO, X6 Pro 5G ,23999,4.3,9846,1272,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"realme NARZO 70X 5G (ICE BLUE, 128 GB)",realme, NARZO 70X 5G ,11949,4.0,159,6,4,GB,128,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
