Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
SHINNEE 310,SHINNEE, 31,558,3.1,11,1,3,MB,32,MB,4.5 cm (1.77 inch) Display,1000 mAh Battery,0.3MP Rear Camera
"OPPO A59 5G (Starry Black, 128 GB)",OPPO, A59 5G ,15499,4.3,1994,102,6,GB,128,GB,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,13MP + 2MP | 8MP Front Camera
I Kall K3310,I, Kall K331,701,3.6,66336,7499,3,MB,32,MB,4.5 cm (1.77 inch) Display,1000 mAh Battery,0.3MP Rear Camera
"REDMI Note 13 Pro+ 5G (Fusion White, 256 GB)",REDMI, Note 13 Pro+ 5G ,30999,4.2,7472,835,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"REDMI Note 13 Pro 5G (Coral Purple, 128 GB)",REDMI, Note 13 Pro 5G ,24999,4.3,17032,1520,8,GB,128,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"Nokia 150 Dual Sim Keypad Mobile, Wireless FM radio, Bluetooth, MP3 player",Nokia," 150 Dual Sim Keypad Mobile, Wireless FM radio, Bluetooth, MP3 playe",2599,4.0,27160,2000,4,MB,4,MB,6.1 cm (2.4 inch) Display,1020 mAh Lithium-ion Battery,0.3MP Rear Camera
"Nokia C22 (Sand, 64 GB)",Nokia, C22 ,6590,3.6,311,5,2,GB,64,GB,16.51 cm (6.5 inch) Display,5000 mAh Battery,13MP Rear Camera
Kechaoda A 27,Kechaoda, A 2,999,3.9,327,8,3,MB,32,MB,1.68 cm (0.66 inch) Display,,
"Nokia 5310 DS Keypad Mobile, FM Radio,Camera with Flash (8MB RAM)",Nokia," 5310 DS Keypad Mobile, FM Radio,Camera with Flash ",2899,4.1,10984,767,8,MB,16,MB,6.1 cm (2.4 inch) Display,1200 mAh Lithium-ion Battery,0.3MP Rear Camera
"itel P 55 5G (Mint Green, 128 GB)",itel, P 55 5G ,10539,4.5,25,0,6,GB,128,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,50MP + 5MP | 8MP Front Camera
"OPPO Reno11 Pro 5G (Rock Grey, 256 GB)",OPPO, Reno11 Pro 5G ,37999,4.3,2980,401,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,4600 mAh Battery,50MP + 8MP + 32MP | 32MP Front Camera
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)",SAMSUNG, Galaxy F15 5G ,15999,4.2,2647,115,8,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,50MP + 5MP + 2MP | 13MP Front Camera
"OnePlus 11R 5G (Sonic Black, 128 GB)",OnePlus, 11R 5G ,38489,4.5,8193,623,8,GB,128,GB,17.02 cm (6.7 inch) Display,5000 mAh Battery,50MP Rear Camera
"OnePlus 11R 5G (Galactic Silver, 128 GB)",OnePlus, 11R 5G ,35998,4.5,8193,623,8,GB,128,GB,17.02 cm (6.7 inch) Display,5000 mAh Battery,50MP Rear Camera
"Apple iPhone 15 Plus (Yellow, 128 GB)",Apple, iPhone 15 Plus ,73999,4.6,7608,633,,GB,,GB,17.02 cm (6.7 inch) Super Retina XDR Display,,48MP + 12MP | 12MP Front Camera
"SAMSUNG Galaxy A35 5G (Awesome Lilac, 128 GB)",SAMSUNG, Galaxy A35 5G ,33999,4.3,511,34,8,GB,128,GB,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 5MP | 13MP Front Camera
"realme 12 5G (Twilight Purple, 128 GB)",realme, 12 5G ,17999,4.3,1873,107,8,GB,128,GB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 8MP Front Camera
"REDMI Note 13 5G (Stealth Black, 256 GB)",REDMI, Note 13 5G ,18999,4.1,5482,316,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 16MP Front Camera
itel it2163S,itel, it2163,999,4.0,1538,123,4,MB,4,MB,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,
"OPPO F27 Pro+ (Dusk Pink, 128 GB)",OPPO, F27 Pro+ ,27999,4.2,1231,61,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,64MP + 2MP | 8MP Front Camera
"Apple iPhone 13 (Midnight, 128 GB)",Apple, iPhone 13 ,52999,4.6,283149,13688,,GB,,GB,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP | 12MP Front Camera
"vivo V30 5G (Andaman Blue, 256 GB)",vivo, V30 5G ,37499,4.5,880,86,1,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 50MP | 50MP Front Camera
"OnePlus 11R 5G (Galactic Silver, 256 GB)",OnePlus, 11R 5G ,38900,4.5,12904,869,1,GB,256,GB,17.02 cm (6.7 inch) Display,5000 mAh Battery,50MP Rear Camera | 16MP Front Camera
"Tecno Camon 20 (Serenity Blue, 256 GB)",Tecno, Camon 20 ,12999,4.2,448,34,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,64MP + 2MP | 32MP Front Camera
