Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"SAMSUNG Galaxy A23 5G (Orange, 128 GB)",SAMSUNG, Galaxy A23 5G ,21999,4.1,2614,174,6,GB,128,GB,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,50MP + 5MP | 8MP Front Camera
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",SAMSUNG, Galaxy F13 ,9999,4.3,206175,11760,4,GB,64,GB,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Lithium Ion Battery,50MP + 5MP + 2MP | 8MP Front Camera
"LAVA O1 (Prism Blue, 64 GB)",LAVA, O1 ,7373,3.8,18,2,4,GB,64,GB,16.66 cm (6.56 inch) Full HD+ Display,5000 mAh Battery,13MP Rear Camera
Kechaoda K35,Kechaoda, K3,1387,3.8,346,23,3,MB,32,MB,7.11 cm (2.8 inch) QVGA Display,1700 mAh Battery,0.3MP Rear Camera | 0.3MP Front Camera
"Nokia C32 (Breezy Mint, 128 GB)",Nokia, C32 ,7999,3.8,1330,113,4,GB,128,GB,16.55 cm (6.517 inch) Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
Nokia 106,Nokia, 10,1699,4.0,2061,115,3,MB,32,MB,17.02 cm (6.7 inch) Display,,
LAVA A7 Torch Dual Sim Keypad Phone|2574 mAh Battery|Expandable Upto 32 GB,LAVA, A7 Torch Dual Sim Keypad Phone|2574 mAh Battery|Expandable Upto 32 G,1453,4.0,284,22,2,GB,32,GB,6.1 cm (2.4 inch) Quarter QVGA Display,2574 mAh Battery,0.3MP Rear Camera | 0MP Front Camera
UiSmart Ferrari,UiSmart, Ferrar,1487,3.8,134,13,3,MB,32,MB,4.32 cm (1.7 inch) QVGA Display,1200 mAh Battery,2MP + 0MP | 0MP Front Camera
Nokia 110 TA-1302 DS,Nokia, 110 TA-1302 D,1499,4.0,26287,2005,4,MB,4,MB,4.5 cm (1.77 inch) QVGA Display,800 mAh Battery,1MP Rear Camera
SAMSUNG Metro B313E Dual Sim - White,SAMSUNG, Metro B313E Dual Sim - Whit,2499,3.1,1485,119,1,MB,1,MB,5.08 cm (2 inch) QVGA Display,1000 mAh Battery,0.3MP Rear Camera
"Motorola e13 (Cosmic Black, 64 GB)",Motorola, e13 ,5999,4.0,11438,912,2,GB,64,GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,13MP Rear Camera | 5MP Front Camera
"vivo V30 5G (Andaman Blue, 256 GB)",vivo, V30 5G ,33999,4.5,5483,488,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 50MP | 50MP Front Camera
"vivo V30 5G (Peacock Green, 256 GB)",vivo, V30 5G ,33999,4.5,5483,488,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 50MP | 50MP Front Camera
"LAVA O2 (Royal Gold, 128 GB)",LAVA, O2 ,9499,4.1,73,2,8,GB,128,GB,16.51 cm (6.5 inch) Display,5000 mAh Battery,50MP Rear Camera
UiSmart Ferrari,UiSmart, Ferrar,1438,3.8,134,13,3,MB,32,MB,4.32 cm (1.7 inch) QVGA Display,1200 mAh Battery,2MP + 0MP | 0MP Front Camera
"REDMI Note 13 5G (Prism Gold, 256 GB)",REDMI, Note 13 5G ,19999,4.1,2029,126,1,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 16MP Front Camera
Kechaoda K28,Kechaoda, K2,1290,4.0,4065,323,3,MB,64,MB,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,0.3MP Rear Camera
LAVA A1 vibe,LAVA, A1 vib,1087,4.0,6103,452,3,MB,24,MB,4.5 cm (1.77 inch) Quarter QVGA Display,1000 mAh Li-ion Battery,0.3MP Rear Camera
"SAMSUNG Galaxy A15 5G (Blue, 128 GB)",SAMSUNG, Galaxy A15 5G ,18999,4.3,104,3,6,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Battery,50MP + 5MP + 2MP | 13MP Front Camera
itel Ace2 Heera | King Talker | Auto Call Recording | Expendable Storage32GB,itel, Ace2 Heera | King Talker | Auto Call Recording | Expendable Storage32G,841,4.0,99,6,3,GB,32,GB,4.57 cm (1.8 inch) Display,,
"OPPO Reno 12 Pro 5G (Space Brown, 256 GB)",OPPO, Reno 12 Pro 5G ,36999,4.4,607,52,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 50MP | 50MP Front Camera
Kechaoda K9,Kechaoda, K,1290,4.1,3151,277,3,MB,64,MB,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,0.3MP Rear Camera
Kechaoda K33,Kechaoda, K3,1040,4.0,9865,597,3,MB,32,MB,3.56 cm (1.4 inch) QVGA Display,800 mAh Battery,0.3MP + 0MP | 0MP Front Camera
Kechaoda K33,Kechaoda, K3,1130,4.0,9865,597,3,MB,32,MB,3.56 cm (1.4 inch) QVGA Display,800 mAh Battery,0.3MP + 0MP | 0MP Front Camera
