Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"realme Narzo N65 5G (Deep Green, 128 GB)",realme, Narzo N65 5G ,12133,4.3,626,11,6,GB,128,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
"SAMSUNG Galaxy A14 5G (Light Green, 64 GB)",SAMSUNG, Galaxy A14 5G ,11999,4.1,4109,265,4,GB,64,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium Ion Battery,50MP + 2MP | 13MP Front Camera
"REDMI 13 5G (Orchid Pink, 128 GB)",REDMI, 13 5G ,13874,4.4,73,3,6,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5030 mAh Battery,108MP Rear Camera
"Nokia 3310 Dual SIM Keypad Mobile with MP3 Player, FM Radio & Rear Camera",Nokia," 3310 Dual SIM Keypad Mobile with MP3 Player, FM Radio & Rear Camer",3869,3.9,31681,3167,1,MB,,MB,6.1 cm (2.4 inch) QVGA Display,1200 mAh Battery,2MP Rear Camera
"REDMI 12 5G (Pastel Blue, 256 GB)",REDMI, 12 5G ,14890,4.2,23397,1400,8,GB,256,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"Nokia C22 (Purple, 64 GB)",Nokia, C22 ,6578,3.6,311,5,2,GB,64,GB,16.51 cm (6.5 inch) Display,5000 mAh Battery,13MP Rear Camera
"Apple iPhone 15 Plus (Black, 128 GB)",Apple, iPhone 15 Plus ,73999,4.6,7608,633,,GB,,GB,17.02 cm (6.7 inch) Super Retina XDR Display,,48MP + 12MP | 12MP Front Camera
"OPPO A38 (Glowing Gold, 128 GB)",OPPO, A38 ,9999,4.3,1397,49,4,GB,128,GB,16.66 cm (6.56 inch) HD Display,5000 mAh Battery,50MP + 2MP | 5MP Front Camera
"realme NARZO N65 5G (AMBER GOLD, 128 GB)",realme, NARZO N65 5G ,11399,4.4,131,3,4,GB,128,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
Kechaoda A27,Kechaoda, A2,999,4.0,11003,693,3,MB,32,MB,1.68 cm (0.66 inch) FWVGA Display,800 mAh Battery,0MP | 0MP Front Camera
"realme C53 (Champion Black, 64 GB)",realme, C53 ,10999,4.4,128569,5826,6,GB,64,GB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,108MP + 2MP | 8MP Front Camera
"realme Narzo N55 (Prime Black, 128 GB)",realme, Narzo N55 ,11280,4.3,6871,367,6,GB,128,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,64MP Rear Camera
"Infinix Note 40 5G (Titan Gold, 256 GB)",Infinix, Note 40 5G ,17999,4.2,800,94,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP + 2MP | 32MP Front Camera
"realme Narzo N65 5G (Deep Green, 128 GB)",realme, Narzo N65 5G ,11498,4.4,131,3,4,GB,128,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
Kechaoda A27,Kechaoda, A2,975,4.0,11003,693,3,MB,32,MB,1.68 cm (0.66 inch) NA Display,800 mAh Battery,0.5MP | 0MP Front Camera
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 128 GB)",Samsung, Galaxy S21 FE 5G with Snapdragon 888 ,45999,4.3,144411,13812,8,GB,128,GB,16.26 cm (6.4 inch) Full HD+ Display,4500 mAh Lithium-ion Battery,12MP + 12MP + 8MP (OIS) | 32MP Front Camera
"POCO M6 5G (Orion Blue, 128 GB)",POCO, M6 5G ,9249,4.1,35498,1968,4,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"POCO X6 5G (Skyline Blue, 256 GB)",POCO, X6 5G ,18999,4.2,12505,1499,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
Kechaoda K9,Kechaoda, K,1165,4.1,3151,277,3,MB,64,MB,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,0.3MP Rear Camera
itel Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64GB,itel, Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64G,2975,3.9,12934,1232,6,GB,128,GB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.3MP Rear Camera
"realme NARZO N65 5G (DEEP GREEN, 128 GB)",realme, NARZO N65 5G ,12470,4.3,626,11,6,GB,128,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
"itel A23s (Coastel Gold, 32 GB)",itel, A23s ,4749,3.6,988,59,2,GB,32,GB,12.7 cm (5 inch) FWVGA Display,3020 mAh Battery,2MP + 0MP | 0.8MP Front Camera
MTR FERRARI,MTR, FERRAR,1370,4.0,7506,503,6,MB,64,MB,4.5 cm (1.77 inch) Display,800 mAh Battery,0.3MP Rear Camera
"POCO F6 5G (Titanium, 256 GB)",POCO, F6 5G ,27999,4.2,1981,193,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP (OIS) + 8MP | 20MP Front Camera
