Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"REDMI 13 5G (Hawaiian Blue, 128 GB)",REDMI, 13 5G ,13980,4.4,73,3,6,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5030 mAh Battery,108MP Rear Camera
"realme C61 (Safari Green, 64 GB)",realme, C61 ,7699,4.4,327,10,4,GB,64,GB,17.13 cm (6.745 inch) HD+ Display,5000 mAh Battery,32MP Rear Camera | 5MP Front Camera
"REDMI 12 5G (Jade Black, 256 GB)",REDMI, 12 5G ,13999,4.2,23397,1400,8,GB,256,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"Motorola G85 5G (Urban Grey, 128 GB)",Motorola, G85 5G ,17999,4.5,8229,491,8,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP | 32MP Front Camera
"POCO C61  - Locked with Airtel Prepaid (Ethereal Blue, 64 GB)",POCO, C61  - Locked with Airtel Prepaid ,5999,4.2,12493,393,4,GB,64,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
Kechaoda A26_black,Kechaoda, A26_blac,999,4.0,475,17,3,MB,16,MB,1.68 cm (0.66 inch) NA Display,800 mAh Battery,0MP | 0MP Front Camera
itel Circle 1,itel, Circle ,1349,4.1,578,24,3,MB,32,MB,3.35 cm (1.32 inch) Display,500 mAh Battery,0.3MP Rear Camera
Kechaoda K112,Kechaoda, K11,1525,4.0,26886,2603,3,MB,64,MB,6.1 cm (2.4 inch) QVGA Display,3600 mAh Battery,0.3MP Rear Camera
"Motorola g64 5G (Ice Lilac, 128 GB)",Motorola, g64 5G ,14999,4.2,20606,1120,8,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,50MP (OIS) + 8MP | 16MP Front Camera
"REDMI 12 5G (Pastel Blue, 256 GB)",REDMI, 12 5G ,13999,4.2,23397,1400,8,GB,256,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"Infinix Smart 8 Plus (Shiny Gold, 128 GB)",Infinix, Smart 8 Plus ,7799,4.3,5065,310,4,GB,128,GB,16.76 cm (6.6 inch) HD+ Display,6000 mAh Battery,50MP + AI Lens | 8MP Front Camera
"realme C65 5G (Feather Green, 128 GB)",realme, C65 5G ,12499,4.4,5293,167,6,GB,128,GB,16.94 cm (6.67 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"POCO C65 (Matte Black, 256 GB)",POCO, C65 ,9499,4.2,9509,520,8,GB,256,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP + AI Lens + 2MP | 8MP Front Camera
"SAMSUNG Galaxy S23 FE (Purple, 128 GB)",SAMSUNG, Galaxy S23 FE ,39999,4.3,10926,736,8,GB,128,GB,16.26 cm (6.4 inch) Full HD+ Display,4500 mAh Battery,50MP + 12MP | 10MP Front Camera
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)",SAMSUNG, Galaxy F15 5G ,12999,4.2,8049,692,4,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,50MP + 5MP + 2MP | 13MP Front Camera
"Motorola G85 5G (Cobalt Blue, 128 GB)",Motorola, G85 5G ,17999,4.5,8229,491,8,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP | 32MP Front Camera
Kechaoda K112,Kechaoda, K11,1557,4.0,26886,2603,3,MB,64,MB,6.1 cm (2.4 inch) QVGA Display,3600 mAh Battery,0.3MP + 0MP | 0MP Front Camera
"realme P1 Pro 5G (Parrot Blue, 256 GB)",realme, P1 Pro 5G ,20999,4.4,11403,738,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP | 16MP Front Camera
itel it5027,itel, it502,1153,4.0,564,37,4,MB,4,MB,6.1 cm (2.4 inch) NA Display,1200 mAh Battery,0.3MP + 0MP | 0MP Front Camera
"REDMI 12 (Moonstone Silver, 128 GB)",REDMI, 12 ,9999,4.2,49813,3316,6,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 2MP | 8MP Front Camera
"realme P1 Pro 5G (Parrot Blue, 128 GB)",realme, P1 Pro 5G ,19999,4.4,11403,738,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP | 16MP Front Camera
"REDMI Note 13 Pro 5G (Arctic White, 128 GB)",REDMI, Note 13 Pro 5G ,21906,4.3,17032,1520,8,GB,128,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
KARBONN KX29 DS Keypad Mobile|3000 mAh Battery|0.3MP Rear Camera|Expandable Upto 32 GB,KARBONN, KX29 DS Keypad Mobile|3000 mAh Battery|0.3MP Rear Camera|Expandable Upto 32 G,1389,3.7,1628,110,3,GB,32,GB,6.1 cm (2.4 inch) Display,2700 mAh Battery,0.3MP Rear Camera
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)",SAMSUNG, Galaxy F15 5G ,14499,4.2,20671,1725,6,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,50MP + 5MP + 2MP | 13MP Front Camera
