Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"Nokia 5310 DS Keypad Mobile, FM Radio,Camera with Flash (8 MB RAM)",Nokia," 5310 DS Keypad Mobile, FM Radio,Camera with Flash ",2961,4.0,9677,684,8,MB,16,MB,6.1 cm (2.4 inch) Display,1200 mAh Lithium-ion Battery,0.3MP Rear Camera
"POCO M6 5G - Locked with Airtel Prepaid (Polaris Green, 128 GB)",POCO, M6 5G - Locked with Airtel Prepaid ,8249,4.1,35498,1968,4,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
LAVA Gem Power Dual Sim Keypad Phone|2575 mAh Battery| Expandable Upto 32 MB,LAVA, Gem Power Dual Sim Keypad Phone|2575 mAh Battery| Expandable Upto 32 M,1599,4.1,1402,103,4,MB,4,MB,7.11 cm (2.8 inch) QVGA Display,2575 mAh Battery,2MP Rear Camera
LAVA Gem Power Dual Sim Keypad Phone|2575 mAh Battery| Expandable Upto 32 MB,LAVA, Gem Power Dual Sim Keypad Phone|2575 mAh Battery| Expandable Upto 32 M,1599,4.1,1402,103,4,MB,4,MB,7.11 cm (2.8 inch) QVGA Display,2575 mAh Battery,2MP Rear Camera
Kechaoda K112,Kechaoda, K11,1515,4.0,26886,2603,3,MB,64,MB,6.1 cm (2.4 inch) QVGA Display,3600 mAh Battery,0.3MP + 0MP | 0MP Front Camera
"POCO M6 5G (Polaris Green, 128 GB)",POCO, M6 5G ,9999,4.3,23900,1272,6,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"vivo T3 5G (Cosmic Blue, 256 GB)",vivo, T3 5G ,21999,4.4,37710,2678,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)",SAMSUNG, Galaxy M34 5G without charger ,14474,4.2,3859,272,6,GB,128,GB,16.51 cm (6.5 inch) Display,6000 mAh Battery,50MP Rear Camera
"Infinix GT 20 Pro (Mecha Orange, 256 GB)",Infinix, GT 20 Pro ,25999,4.3,2047,139,1,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,108MP (OIS) + 2MP + 2MP | 32MP Front Camera
"POCO X6 Neo 5G (Astral Black, 256 GB)",POCO, X6 Neo 5G ,15999,4.1,6000,387,1,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 16MP Front Camera
"vivo T3 5G (Cosmic Blue, 128 GB)",vivo, T3 5G ,19999,4.4,37710,2678,8,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)",SAMSUNG, Galaxy M34 5G without charger ,15492,4.2,3859,272,6,GB,128,GB,16.51 cm (6.5 inch) Display,6000 mAh Battery,50MP Rear Camera
"IQOO z9x (Storm Grey, 128 GB)",IQOO, z9x ,15100,4.3,1153,47,6,GB,128,GB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,50MP + 2MP | 8MP Front Camera
"REDMI 12 (Jade Black, 128 GB)",REDMI, 12 ,9499,4.3,103538,5500,4,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 2MP | 8MP Front Camera
"realme C65 5G (Feather Green, 64 GB)",realme, C65 5G ,10499,4.1,1974,85,4,GB,64,GB,16.94 cm (6.67 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"vivo T3 5G (Crystal Flake, 256 GB)",vivo, T3 5G ,21999,4.4,37710,2678,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"POCO C65 (Pastel Blue, 256 GB)",POCO, C65 ,9499,4.2,9509,520,8,GB,256,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP + AI Lens + 2MP | 8MP Front Camera
Kechaoda A27,Kechaoda, A2,990,4.0,10996,693,3,MB,32,MB,1.68 cm (0.66 inch) FWVGA+ Display,,
"IQOO Z9X (Tornado Green, 128 GB)",IQOO, Z9X ,15947,4.4,363,8,8,GB,128,GB,17.07 cm (6.72 inch) Display,6000 mAh Battery,50MP Rear Camera
"realme NARZO 70X 5G (ICE BLUE, 128 GB)",realme, NARZO 70X 5G ,12669,4.3,1283,56,6,GB,128,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"realme NARZO 70X 5G (FOREST GREEN, 128 GB)",realme, NARZO 70X 5G ,12890,4.3,1283,56,6,GB,128,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"realme Narzo N63 4G (Twilight Purple, 64 GB)",realme, Narzo N63 4G ,7949,3.9,628,14,4,GB,64,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
"vivo T3 5G (Crystal Flake, 128 GB)",vivo, T3 5G ,19999,4.4,37710,2678,8,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
Kechaoda K115,Kechaoda, K11,1050,4.1,35866,2495,3,MB,32,MB,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,0.3MP + 0MP | 0MP Front Camera
