Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"realme 13 Pro+ 5G (Monet Gold, 256 GB)",realme, 13 Pro+ 5G ,34999,5.0,4,0,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5200 mAh Battery,50MP + 8MP + 50MP | 32MP Front Camera
"realme 13 Pro+ 5G (Emerald Green, 256 GB)",realme, 13 Pro+ 5G ,34999,5.0,4,0,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5200 mAh Battery,50MP + 8MP + 50MP | 32MP Front Camera
"realme GT 6T 5G (Miracle Purple, 256 GB)",realme, GT 6T 5G ,30996,4.4,553,32,8,GB,256,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
"Motorola G85 5G (Urban Grey, 256 GB)",Motorola, G85 5G ,19999,4.5,2151,125,1,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP | 32MP Front Camera
"realme 13 Pro+ 5G (Emerald Green, 256 GB)",realme, 13 Pro+ 5G ,32999,4.8,12,0,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5200 mAh Battery,50MP + 8MP + 50MP | 32MP Front Camera
"realme GT 6T 5G (Fluid Silver, 512 GB)",realme, GT 6T 5G ,38559,4.4,180,15,1,GB,512,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
"realme 13 Pro+ 5G (Monet Gold, 256 GB)",realme, 13 Pro+ 5G ,32999,4.8,12,0,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5200 mAh Battery,50MP + 8MP + 50MP | 32MP Front Camera
LAVA A1 Vibe DS Keypad Phone|1000 mAh Battery|0.3MP Rear Camera|Expandable Upto 32 GB,LAVA, A1 Vibe DS Keypad Phone|1000 mAh Battery|0.3MP Rear Camera|Expandable Upto 32 G,1172,4.1,75,5,2,GB,,GB,4.5 cm (1.77 inch) Display,1000 mAh Battery,0.3MP Rear Camera
Micromax S213,Micromax, S21,1230,3.9,265,5,3,MB,32,MB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.08MP Rear Camera
"realme GT 6T 5G (Razor Green, 256 GB)",realme, GT 6T 5G ,33779,4.4,180,15,1,GB,256,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
LAVA A1 Vibe DS Keypad Phone|1000 mAh Battery|0.3MP Rear Camera|Expandable Upto 32 GB,LAVA, A1 Vibe DS Keypad Phone|1000 mAh Battery|0.3MP Rear Camera|Expandable Upto 32 G,1060,4.1,116,5,3,GB,24,GB,4.5 cm (1.77 inch) Display,1000 mAh Battery,0.3MP Rear Camera
"Motorola Edge 50 Pro 5G with 125W Charger (Vanilla Cream, 256 GB)",Motorola, Edge 50 Pro 5G with 125W Charger ,35999,4.4,7929,677,1,GB,256,GB,17.02 cm (6.7 inch) Display,4500 mAh Battery,50MP + 13MP + 10MP | 50MP Front Camera
Jio V2 Keypad Phone with (UPI) Locked New,Jio, V2 Keypad Phone with ,1199,3.6,405,17,2,MB,20,MB,4.5 cm (1.77 inch) Display,1000 mAh Battery,0.3MP Rear Camera
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",SAMSUNG, Galaxy F04 ,7999,4.2,110205,6187,4,GB,64,GB,16.51 cm (6.5 inch) HD Display,5000 mAh Lithium-Ion Battery,13MP + 2MP | 5MP Front Camera
"realme GT 6T 5G (Miracle Purple, 256 GB)",realme, GT 6T 5G ,33999,4.4,180,15,1,GB,256,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)",SAMSUNG, Galaxy S23 5G ,48999,4.5,11964,1135,8,GB,128,GB,15.49 cm (6.1 inch) Full HD+ Display,3900 mAh Lithium Ion Battery,50MP + 10MP + 12MP | 12MP Front Camera
"realme narzo 70 5G (Forest Green, 128 GB)",realme, narzo 70 5G ,15061,4.3,386,23,6,GB,128,GB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,5000 mAh Battery,50MP Rear Camera
itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,itel, Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32G,899,4.0,5122,354,4,GB,4,GB,4.57 cm (1.8 inch) Quarter QVGA Display,1000 mAh Lithium Ion Battery,0MP Front Camera
"Google Pixel 7 (Lemongrass, 128 GB)",Google, Pixel 7 ,37999,4.3,14973,1775,8,GB,128,GB,16.0 cm (6.3 inch) Full HD+ Display,4270 mAh Battery,50MP + 12MP | 10.8MP Front Camera
"POCO X6 Pro 5G (Spectre Black, 256 GB)",POCO, X6 Pro 5G ,23999,4.3,9846,1272,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"realme 12 Pro+ 5G (Submarine Blue, 256 GB)",realme, 12 Pro+ 5G ,33999,4.4,5736,636,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 64MP | 32MP Front Camera
Motorola a10,Motorola, a1,1399,4.2,8165,833,0,MB,,MB,4.57 cm (1.8 inch) Quarter QVGA Display,,
"OnePlus Nord 3 5G (Misty Green, 256 GB)",OnePlus, Nord 3 5G ,37630,4.4,1536,136,1,GB,256,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
"OnePlus Nord 3 5G (Tempest Gray, 256 GB)",OnePlus, Nord 3 5G ,36000,4.4,1536,136,1,GB,256,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
