Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"itel A23s (Sapphire Black, 32 GB)",itel, A23s ,4789,3.6,988,59,2,GB,32,GB,12.7 cm (5 inch) FWVGA Display,3020 mAh Battery,5MP + 0MP | 0.8MP Front Camera
Micromax X1i Flip,Micromax, X1i Fli,1650,3.8,47,3,3,MB,32,MB,6.1 cm (2.4 inch) Display,1200 mAh Battery,0.08MP Rear Camera
"REDMI 13C (Stardust Black, 128 GB)",REDMI, 13C ,9370,4.2,32801,1383,4,GB,128,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
"Tecno Spark 10c (Meta Black, 128 GB)",Tecno, Spark 10c ,9699,4.3,170,6,8,GB,128,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,16MP Rear Camera | 8MP Front Camera
Micromax X412,Micromax, X41,995,3.9,19480,1561,3,MB,32,MB,4.5 cm (1.77 inch) Display,,
Kechaoda 888_black,Kechaoda, 888_blac,1599,3.9,104,8,3,MB,32,MB,4.57 cm (1.8 inch) NA Display,3000 mAh Battery,0.3MP + 0MP | 0MP Front Camera
itel iPower 430 Triple sim|2500 mAh Battery|Expandable Storage upto 32GB,itel, iPower 430 Triple sim|2500 mAh Battery|Expandable Storage upto 32G,1747,3.9,465,25,8,GB,8,GB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.3MP Rear Camera
"OPPO F25 Pro 5G (Ocean Blue, 128 GB)",OPPO, F25 Pro 5G ,23999,4.3,3596,296,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,64MP + 8MP + 2MP | 32MP Front Camera
GOLY Flippo,GOLY, Flipp,2205,4.0,117,9,3,MB,32,MB,5.59 cm (2.2 inch) QVGA Display,1100 mAh Battery,2MP + 0MP | 0MP Front Camera
I Kall K29-Pro 4G Phone,I, Kall K29-Pro 4G Phon,1169,3.7,371,27,4,MB,48,MB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.3MP Rear Camera
"I Kall K 333 PLUS (charcoal black, 16 GB)",I, Kall K 333 PLUS ,2928,3.3,245,20,2,GB,16,GB,7.11 cm (2.8 inch) Display,3000 mAh Battery,2MP Rear Camera
Jio V2 Keypad Phone (UPI) Locked,Jio, V2 Keypad Phone ,1090,3.6,1529,80,2,MB,20,MB,4.5 cm (1.77 inch) Display,1000 mAh Battery,0.3MP Rear Camera
"OPPO A3 Pro 5G (Moonlight Purple, 128 GB)",OPPO, A3 Pro 5G ,17999,4.2,320,17,8,GB,128,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,50MP + 2MP | 8MP Front Camera
Vox V16,Vox, V1,809,3.7,112,5,3,MB,32,MB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.3MP Rear Camera
"Nokia 225 4G DS Keypad Mobile with Long Battery Life,Built-in Camera",Nokia," 225 4G DS Keypad Mobile with Long Battery Life,Built-in Camer",4100,3.7,14209,1372,6,MB,128,MB,6.1 cm (2.4 inch) QVGA Display,1150 mAh Lithium-ion Battery,0.3MP Rear Camera
"Honor 90 5G (Diamond Silver, 256 GB)",Honor, 90 5G ,25999,4.2,493,61,8,GB,256,GB,17.02 cm (6.7 inch) Display,5000 mAh Battery,200MP Rear Camera
Micromax X413,Micromax, X41,1140,4.0,4838,363,3,MB,32,MB,4.5 cm (1.77 inch) Display,800 mAh Battery,0.3MP Rear Camera
Motorola a50,Motorola, a5,1699,4.0,1181,102,4,MB,4,MB,4.57 cm (1.8 inch) Quarter QVGA Display,,
itel Power 450 | 2.4 inch Big Display | 2500 mAh Battery | Type C Charging,itel, Power 450 | 2.4 inch Big Display | 2500 mAh Battery | Type C Chargin,1598,4.2,144,9,3,MB,32,MB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.8MP Rear Camera
"REDMI Note 13 5G (Prism Gold, 256 GB)",REDMI, Note 13 5G ,18999,4.1,5482,316,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 16MP Front Camera
SAREGAMA Carvaan Keypad Mobile Tamil Don M12 with 1000 Pre-Loaded Songs,SAREGAMA, Carvaan Keypad Mobile Tamil Don M12 with 1000 Pre-Loaded Song,1750,3.0,27,6,3,MB,,MB,4.57 cm (1.8 inch) Display,,
"OPPO Reno11 5G (Rock Grey, 128 GB)",OPPO, Reno11 5G ,27999,4.3,10172,976,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 32MP | 32MP Front Camera
"itel S23 with Dual Sim| 50MP Rear Camera| 5000mAh Battery|Expandable Upto 1 TB (Sky Blue, 128 GB)",itel, S23 with Dual Sim| 50MP Rear Camera| 5000mAh Battery|Expandable Upto 1 TB ,7599,4.1,735,30,4,GB,128,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"Nokia 2660 Flip 4G Volte Blue keypad Mobile with Dual Sim & Screen, MP3 Player",Nokia," 2660 Flip 4G Volte Blue keypad Mobile with Dual Sim & Screen, MP3 Playe",5295,4.1,889,56,0,MB,,MB,7.11 cm (2.8 inch) QVGA Display,1450 mAh Lithium Ion Battery,0.3MP Rear Camera
