Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
LAVA LF9000,LAVA, LF900,1749,4.1,465,27,2,MB,20,MB,7.11 cm (2.8 inch) Display,2575 mAh Battery,1.3MP Rear Camera
"REDMI Note 13 Pro 5G (Arctic White, 256 GB)",REDMI, Note 13 Pro 5G ,23298,4.3,17032,1520,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",SAMSUNG, Galaxy F04 ,7999,4.2,110205,6187,4,GB,64,GB,16.51 cm (6.5 inch) HD Display,5000 mAh Lithium-Ion Battery,13MP + 2MP | 5MP Front Camera
Nokia 105 Classic without Charger,Nokia, 105 Classic without Charge,999,4.0,2080,83,3,MB,32,MB,4.5 cm (1.77 inch) Display,800 mAh Battery,0MP Front Camera
UiSmart Ui-06,UiSmart, Ui-0,1487,4.0,2917,270,5,MB,256,MB,4.5 cm (1.77 inch) QVGA Display,1050 mAh Battery,2MP + 0MP | 0MP Front Camera
Kechaoda K60,Kechaoda, K6,1753,4.0,1727,155,3,MB,32,MB,6.1 cm (2.4 inch) QVGA Display,3600 mAh Battery,0.3MP Rear Camera | 0.3MP Front Camera
"Apple iPhone 12 (Blue, 64 GB)",Apple, iPhone 12 ,38999,4.6,210419,13888,,GB,,GB,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP | 12MP Front Camera
"vivo T2x 5G (Glimmer Black, 128 GB)",vivo, T2x 5G ,14489,4.4,180010,9261,4,GB,128,GB,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"Infinix Note 40 Pro+ 5G (Vintage Green, 256 GB)",Infinix, Note 40 Pro+ 5G ,24999,4.1,1092,80,1,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,4600 mAh Battery,108MP (OIS) + 2MP + 2MP | 32MP Front Camera
"REDMI Note 13 Pro+ 5G (Fusion Purple, 256 GB)",REDMI, Note 13 Pro+ 5G ,32999,4.2,5764,581,1,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"Nokia 110 Dual Sim, Keypad Mobile with Wireless FM Radio, Bluetooth and Rear Camera",Nokia," 110 Dual Sim, Keypad Mobile with Wireless FM Radio, Bluetooth and Rear Camer",1699,4.0,790,45,3,MB,32,MB,17.02 cm (6.7 inch) Display,1000 mAh Battery,0.08MP Rear Camera
"REDMI 12 5G (Pastel Blue, 128 GB)",REDMI, 12 5G ,11999,4.3,10465,465,4,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
Lava Pulse1- with contactless Talking Thermometer,Lava, Pulse1- with contactless Talking Thermomete,1666,4.0,521,47,3,MB,32,MB,6.1 cm (2.4 inch) Display,1800 mAh Lithium-ion Battery,0.3MP Rear Camera
itel Power 120 | 2 inch Big Display | 2500 mAh Battery | Kingvoice,itel, Power 120 | 2 inch Big Display | 2500 mAh Battery | Kingvoic,1299,4.1,128,6,4,MB,4,MB,5.08 cm (2 inch) Quarter QVGA Display,2500 mAh Battery,
"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)",SAMSUNG, Galaxy Z Flip3 5G ,39999,4.3,8891,555,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,3300 mAh Lithium-ion Battery,12MP + 12MP | 10MP Front Camera
I Kall A2,I, Kall A,1880,3.8,21,3,3,MB,32,MB,7.11 cm (2.8 inch) Display,2200 mAh Battery,0.3MP Rear Camera
Kechaoda K33,Kechaoda, K3,1064,4.0,9865,597,3,MB,32,MB,3.56 cm (1.4 inch) QVGA Display,800 mAh Battery,0.3MP + 0MP | 0MP Front Camera
"OPPO A18 (Glowing Black, 128 GB)",OPPO, A18 ,9499,4.3,1432,70,4,GB,128,GB,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,8MP + 2MP | 5MP Front Camera
Kechaoda K28,Kechaoda, K2,1260,4.0,4065,323,3,MB,64,MB,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,0.3MP Rear Camera
Kechaoda K28,Kechaoda, K2,1249,4.0,4065,323,3,MB,64,MB,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,0.3MP Rear Camera
"REDMI Note 13 5G (Arctic White, 128 GB)",REDMI, Note 13 5G ,16999,4.2,10577,639,6,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 16MP Front Camera
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)",SAMSUNG, Galaxy M04 ,8999,4.1,12288,681,4,GB,64,GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,13MP + 13MP | 5MP + 5MP Dual Front Camera
"REDMI Note 13 Pro+ 5G (Fusion Purple, 256 GB)",REDMI, Note 13 Pro+ 5G ,30867,4.2,5764,581,1,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
itel Power 120 | 2 inch Big Display | 2500 mAh Battery | Kingvoice,itel, Power 120 | 2 inch Big Display | 2500 mAh Battery | Kingvoic,1349,4.1,128,6,4,MB,4,MB,5.08 cm (2 inch) Quarter QVGA Display,2500 mAh Battery,
