Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
MTR Ferrari,MTR, Ferrar,1390,4.0,7506,503,6,MB,64,MB,4.5 cm (1.77 inch) Display,800 mAh Battery,0.3MP Rear Camera
"vivo V30e (Velvet Red, 128 GB)",vivo, V30e ,27999,4.4,2790,202,8,GB,128,GB,17.22 cm (6.78 inch) Full HD+ Display,5500 mAh Battery,50MP + 8MP | 50MP Front Camera
"vivo V30e (Silk Blue, 128 GB)",vivo, V30e ,27999,4.4,2790,202,8,GB,128,GB,17.22 cm (6.78 inch) Full HD+ Display,5500 mAh Battery,50MP + 8MP | 50MP Front Camera
"REDMI A3 (Midnight Black, 128 GB)",REDMI, A3 ,7999,4.1,950,37,4,GB,128,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
Kechaoda K115,Kechaoda, K11,1060,4.1,35866,2495,3,MB,32,MB,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,0.3MP + 0MP | 0MP Front Camera
I Kall K100,I, Kall K10,,3.3,8696,745,3,MB,32,MB,4.57 cm (1.8 inch) Display,,
"REDMI Note 13 Pro+ 5G (Fusion White, 256 GB)",REDMI, Note 13 Pro+ 5G ,,4.2,7472,835,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
GFive G9000,GFive, G900,,3.8,94,6,3,MB,32,MB,6.1 cm (2.4 inch) Display,3000 mAh Battery,0.3MP Rear Camera
"IQOO Z9 Lite 5G (Aqua Flow, 128 GB)",IQOO, Z9 Lite 5G ,,0.0,0,0,6,GB,128,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,50MP Rear Camera
"REDMI Note 13 Pro+ 5G (Fusion Black, 256 GB)",REDMI, Note 13 Pro+ 5G ,,4.2,7472,835,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"REDMI 12C (Royal Blue, 128 GB)",REDMI, 12C ,,4.1,4858,242,6,GB,128,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"POCO F6 5G (Titanium, 512 GB)",POCO, F6 5G ,,4.2,1407,149,1,GB,512,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP (OIS) + 8MP | 20MP Front Camera
itel it2165s,itel, it2165,,3.6,20,4,4,MB,4,MB,5.08 cm (2 inch) Display,1200 mAh Battery,0.3MP Rear Camera
"vivo V30e (Velvet Red, 256 GB)",vivo, V30e ,,4.4,2790,202,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5500 mAh Battery,50MP + 8MP | 50MP Front Camera
"itel P55 (Moonlit Black, 128 GB)",itel, P55 ,,4.1,105,6,8,GB,128,GB,16.66 cm (6.56 inch) HD Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"Motorola G32 (Satin Maroon, 128 GB)",Motorola, G32 ,,4.2,122224,9911,8,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,50MP + 8MP + 2MP | 16MP Front Camera
KARBONN BHARAT K1 4G,KARBONN, BHARAT K1 4,,3.6,1352,82,2,MB,40,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,2MP Rear Camera
"POCO X6 5G (Snowstorm White, 256 GB)",POCO, X6 5G ,,4.3,3547,378,1,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"REDMI A3 (Lake Blue, 128 GB)",REDMI, A3 ,,4.0,596,34,6,GB,128,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
LAVA A1 Vibe,LAVA, A1 Vib,,4.2,75349,7562,2,MB,24,MB,4.5 cm (1.77 inch) Quarter QVGA Display,1000 mAh Battery,0.3MP Rear Camera
"REDMI Note 13 Pro 5G (Scarlet Red, 256 GB)",REDMI, Note 13 Pro 5G ,,4.3,17032,1520,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"REDMI 13 5G (Black Diamond, 128 GB)",REDMI, 13 5G ,,4.1,29,1,8,GB,128,GB,17.25 cm (6.79 inch) Display,5030 mAh Battery,108MP Rear Camera
"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)",SAMSUNG, Galaxy A23 5G ,,4.0,1202,63,8,GB,128,GB,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,50MP + 5MP | 8MP Front Camera
"REDMI Note 13 Pro 5G (Midnight Black, 256 GB)",REDMI, Note 13 Pro 5G ,,4.3,17032,1520,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
