Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"REDMI Note 13 Pro+ 5G (Fusion Black, 512 GB)",REDMI, Note 13 Pro+ 5G ,34999,4.2,5764,581,1,GB,512,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
Nokia 106,Nokia, 10,1699,4.0,2061,115,3,MB,32,MB,17.02 cm (6.7 inch) Display,,
"OPPO F27 Pro+ (Dusk Pink, 256 GB)",OPPO, F27 Pro+ ,29999,4.2,1231,61,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,64MP + 2MP | 8MP Front Camera
"amaq 4G/VOLTE supported Dual Sim, Touch and Keypad",amaq," 4G/VOLTE supported Dual Sim, Touch and Keypa",2500,4.2,6,0,6,MB,512,MB,7.11 cm (2.8 inch) Display,3000 mAh Battery,0.3MP Rear Camera
itel MagicX Play 4G| 1900 mAh battery| Expandable Storage upto 64GB,itel, MagicX Play 4G| 1900 mAh battery| Expandable Storage upto 64G,2599,3.9,853,88,4,GB,128,GB,4.57 cm (1.8 inch) Display,1900 mAh Battery,0.3MP Rear Camera
"LAVA Blaze 2 5G with Dual Sim|50MP Rear Camera|5000 mAh Battery|Expandable Upto 1 TB (Glass Blue, 128 ...",LAVA, Blaze 2 5G with Dual Sim|50MP Rear Camera|5000 mAh Battery|Expandable Upto 1 TB ,10792,4.2,564,55,6,MB,128,MB,16.66 cm (6.56 inch) Full HD+ Display,5000 mAh Battery,50MP Rear Camera
"REDMI Note 13 Pro 5G (Coral Purple, 256 GB)",REDMI, Note 13 Pro 5G ,26999,4.3,17032,1520,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
GFive A7-C,GFive, A7-,699,0.0,0,0,3,MB,32,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
GFive A7-C,GFive, A7-,699,0.0,0,0,3,MB,32,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
LAVA Hero Shakti Keypad Mobile|1.8 inch Big Display|Auto Call Recording|Wireless FM,LAVA, Hero Shakti Keypad Mobile|1.8 inch Big Display|Auto Call Recording|Wireless F,979,4.4,30,0,,MB,,MB,4.57 cm (1.8 inch) Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,
GFive A7-C,GFive, A7-,699,0.0,0,0,3,MB,32,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
Kechaoda K10,Kechaoda, K1,1022,3.9,15956,967,3,MB,32,MB,1.68 cm (0.66 inch) QVGA Display,300 mAh Battery,2MP + 0MP | 0MP Front Camera
"REDMI Note 13 Pro+ 5G (Fusion Black, 256 GB)",REDMI, Note 13 Pro+ 5G ,32999,4.2,5764,581,1,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"OPPO A59 5G (Starry Black, 128 GB)",OPPO, A59 5G ,13999,4.3,951,49,4,GB,128,GB,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,13MP + 2MP | 8MP Front Camera
"Tecno Spark 10 5G (Meta Black, 128 GB)",Tecno, Spark 10 5G ,13999,4.0,269,17,8,GB,128,GB,16.76 cm (6.6 inch) Display,5000 mAh Battery,50MP Rear Camera
UiSmart Ui-07 F1 Car Phone,UiSmart, Ui-07 F1 Car Phon,1219,3.8,656,34,5,MB,256,MB,4.57 cm (1.8 inch) QVGA Display,1050 mAh Battery,2MP + 0MP | 0MP Front Camera
"LAVA Yuva 3 with Dual Sim|5000 mAh Battery|13MP Rear Camera |Expandable Upto 512 GB (Eclipse Black, 64...",LAVA, Yuva 3 with Dual Sim|5000 mAh Battery|13MP Rear Camera |Expandable Upto 512 GB ,6999,4.1,196,12,4,GB,64,GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,13MP Rear Camera | 8MP Front Camera
"Honor X9b (Sunrise Orange, 256 GB)",Honor, X9b ,22995,4.2,446,22,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5800 mAh Battery,108MP + 5MP + 2MP | 16MP Front Camera
DIZO Star 300,DIZO, Star 30,1449,3.9,11319,1249,3,MB,32,MB,4.5 cm (1.77 inch) Quarter QVGA Display,2550 mAh Battery,0.3MP Rear Camera
"REDMI 10A (Charcoal Black, 64 GB)",REDMI, 10A ,9270,4.2,14312,710,4,GB,64,GB,16.59 cm (6.53 inch) Display,5000 mAh Battery,13MP Rear Camera
"OPPO F25 Pro 5G (Coral Purple, 128 GB)",OPPO, F25 Pro 5G ,23999,4.3,3596,296,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,64MP + 8MP + 2MP | 32MP Front Camera
Cellecor X9,Cellecor, X,1249,4.1,56,5,3,MB,32,MB,6.1 cm (2.4 inch) Display,2750 mAh Battery,0.8MP Rear Camera
"Xiaomi 14 CIVI (Cruise Blue, 256 GB)",Xiaomi, 14 CIVI ,42999,4.2,552,85,8,GB,256,GB,16.64 cm (6.55 inch) Display,4700 mAh Battery,50MP Rear Camera | 32MP + 32MP Dual Front Camera
"itel A70 (Field Green, 256 GB)",itel, A70 ,7299,4.1,116,3,4,GB,256,GB,16.76 cm (6.6 inch) Display,5000 mAh Battery,13MP Rear Camera
