Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"REDMI Note 12 5G (Mystique Blue, 256 GB)",REDMI, Note 12 5G ,18999,4.1,5310,415,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,5000 mAh Battery,48MP + 8MP + 2MP | 13MP Front Camera
"vivo V30 5G (Peacock Green, 256 GB)",vivo, V30 5G ,35999,4.5,880,86,1,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 50MP | 50MP Front Camera
"vivo V30 5G (Peacock Green, 128 GB)",vivo, V30 5G ,31999,4.5,5483,488,8,GB,128,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 50MP | 50MP Front Camera
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",SAMSUNG, Galaxy F14 5G ,11990,4.2,118628,8448,6,GB,128,GB,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Battery,50MP + 2MP | 13MP Front Camera
I Kall K41-New with four sim support,I, Kall K41-New with four sim suppor,1804,4.0,174,8,3,MB,32,MB,6.1 cm (2.4 inch) Display,4000 mAh Battery,0.3MP Rear Camera
"OPPO F27 Pro+ (Midnight Navy, 256 GB)",OPPO, F27 Pro+ ,29999,4.2,1231,61,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,64MP + 2MP | 8MP Front Camera
"SAMSUNG Galaxy A54 5G (Awesome Lime, 256 GB)",SAMSUNG, Galaxy A54 5G ,37499,4.3,3368,316,8,GB,256,GB,16.26 cm (6.4 inch) Full HD+ Display,5000 mAh Battery,50MP + 12MP + 5MP | 32MP Front Camera
"REDMI Note 13 5G (Arctic White, 256 GB)",REDMI, Note 13 5G ,18999,4.1,5482,316,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 16MP Front Camera
"vivo Y18 (Space Black, 128 GB)",vivo, Y18 ,13999,4.0,494,16,4,GB,128,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,50MP + 0.08MP | 8MP Front Camera
"vivo V30 5G (Andaman Blue, 128 GB)",vivo, V30 5G ,31999,4.5,5483,488,8,GB,128,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 50MP | 50MP Front Camera
"vivo V30 5G (Classic Black, 256 GB)",vivo, V30 5G ,35999,4.5,880,86,1,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 50MP | 50MP Front Camera
Nokia 105 Classic without Charger,Nokia, 105 Classic without Charge,999,4.0,2080,83,3,MB,32,MB,4.5 cm (1.77 inch) Display,800 mAh Battery,0MP Front Camera
"OPPO F27 Pro+ (Midnight Navy, 128 GB)",OPPO, F27 Pro+ ,27999,4.2,1231,61,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,64MP + 2MP | 8MP Front Camera
Micromax X513+,Micromax, X513,1083,3.8,4388,273,3,MB,32,MB,4.5 cm (1.77 inch) Display,1750 mAh Battery,0.3MP Rear Camera
"Motorola e13 (Aurora Green, 64 GB)",Motorola, e13 ,6999,4.1,103027,7792,4,GB,64,GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,13MP Rear Camera | 5MP Front Camera
"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)",SAMSUNG, Galaxy M14 5G ,14990,4.2,6444,343,4,GB,128,GB,16.76 cm (6.6 inch) Full HD Display,6000 mAh Battery,50MP + 50MP | 1920MP + 2MP Dual Front Camera
"Tecno Pova 6 Pro 5G (Meteorite Grey, 256 GB)",Tecno, Pova 6 Pro 5G ,19999,4.3,218,9,8,GB,256,GB,17.22 cm (6.78 inch) Full HD Display,6000 mAh Battery,108MP Rear Camera | 32MP Front Camera
"vivo V30 5G (Classic Black, 256 GB)",vivo, V30 5G ,33999,4.5,5483,488,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 50MP | 50MP Front Camera
"REDMI Note 13 Pro+ 5G (Fusion Black, 256 GB)",REDMI, Note 13 Pro+ 5G ,30999,4.2,7472,835,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"Honor X9b (Midnight Black, 256 GB)",Honor, X9b ,21998,4.2,446,22,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5800 mAh Battery,108MP + 5MP + 2MP | 16MP Front Camera
UiSmart Ferrari,UiSmart, Ferrar,1519,3.8,134,13,3,MB,32,MB,4.32 cm (1.7 inch) QVGA Display,1200 mAh Battery,2MP + 0MP | 0MP Front Camera
"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)",SAMSUNG, Galaxy M34 5G without charger ,18995,4.2,926,80,8,GB,128,GB,16.51 cm (6.5 inch) Display,6000 mAh Battery,50MP Rear Camera
"vivo Y18 (Space Black, 64 GB)",vivo, Y18 ,12999,4.0,494,16,4,GB,64,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,50MP + 0.08MP | 8MP Front Camera
"vivo V30 5G (Classic Black, 128 GB)",vivo, V30 5G ,31999,4.5,5483,488,8,GB,128,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,50MP + 50MP | 50MP Front Camera
