Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
Kechaoda K66 The Music House 4,Kechaoda, K66 The Music House ,1169,3.9,21320,1477,3,MB,64,MB,4.57 cm (1.8 inch) Quarter QVGA Display,400 mAh Battery,1.3MP + 0.5MP | 0MP Front Camera
KARBONN KX30 Dual Sim Keypad Mobile|1200 mAh Battery|0.3MP Camera|Expandable Upto 32 GB,KARBONN, KX30 Dual Sim Keypad Mobile|1200 mAh Battery|0.3MP Camera|Expandable Upto 32 G,1228,3.8,170,10,3,GB,32,GB,6.1 cm (2.4 inch) Display,1200 mAh Battery,0.3MP Rear Camera
LAVA A1 vibe,LAVA, A1 vib,1149,4.0,6103,452,3,MB,24,MB,4.5 cm (1.77 inch) Display,800 mAh Li-ion Battery,0.3MP Rear Camera
"Apple iPhone 15 (Yellow, 128 GB)",Apple, iPhone 15 ,66199,4.6,44348,2389,,GB,,GB,15.49 cm (6.1 inch) Super Retina XDR Display,,48MP + 12MP | 12MP Front Camera
"Nokia 225 4G DS Keypad Mobile with Long Battery Life,Built-in Camera",Nokia," 225 4G DS Keypad Mobile with Long Battery Life,Built-in Camer",4298,3.7,14209,1372,6,MB,128,MB,6.1 cm (2.4 inch) QVGA Display,1150 mAh Lithium-ion Battery,0.3MP Rear Camera
"Motorola Edge 40 Neo (Peach Fuzz, 128 GB)",Motorola, Edge 40 Neo ,22999,4.3,54114,5731,8,GB,128,GB,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,50MP + 13MP | 32MP Front Camera
LAVA Hero Shakti Keypad Mobile|1.8 inch Big Display|Auto Call Recording|Wireless FM,LAVA, Hero Shakti Keypad Mobile|1.8 inch Big Display|Auto Call Recording|Wireless F,979,4.4,30,0,,MB,,MB,4.57 cm (1.8 inch) Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,
"Tecno Spark 10 (Magic Skin Orange, 128 GB)",Tecno, Spark 10 ,9999,4.1,291,18,8,GB,128,GB,16.76 cm (6.6 inch) HD Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"REDMI Note 13 5G (Arctic White, 256 GB)",REDMI, Note 13 5G ,18478,4.1,2029,126,1,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,108MP Rear Camera
"REDMI Note 13 Pro+ 5G (Fusion Black, 512 GB)",REDMI, Note 13 Pro+ 5G ,32972,4.2,5764,581,1,GB,512,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
