Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)",SAMSUNG, Galaxy M04 ,8999,4.1,12288,681,4,GB,64,GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,13MP + 13MP | 5MP + 5MP Dual Front Camera
"itel P55T (Astral Gold, 128 GB)",itel, P55T ,7190,4.2,97,3,4,GB,128,GB,16.66 cm (6.56 inch) Display,6000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"REDMI A3 (Midnight Black, 64 GB)",REDMI, A3 ,6999,4.1,2232,94,3,GB,64,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"OPPO A78 (Mist Black, 128 GB)",OPPO, A78 ,15499,4.3,910,57,8,GB,128,GB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
itel Power 450 | 2.4 inch Big Display | 2500 mAh Battery | Type C Charging,itel, Power 450 | 2.4 inch Big Display | 2500 mAh Battery | Type C Chargin,1593,4.2,144,9,3,MB,32,MB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.8MP Rear Camera
"Tecno Spark Go 2024 (Alpenglow Gold, 64 GB)",Tecno, Spark Go 2024 ,6899,4.3,362,10,3,GB,64,GB,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,13MP Rear Camera | 8MP Front Camera
"REDMI 12 5G (Pastel Blue, 128 GB)",REDMI, 12 5G ,14000,4.2,44521,2061,6,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"itel P55 (Moonlit Black, 128 GB)",itel, P55 ,7998,4.0,423,16,1,GB,128,GB,16.76 cm (6.6 inch) Display,5000 mAh Battery,50MP Rear Camera
LAVA LF9000,LAVA, LF900,1744,4.1,465,27,2,MB,20,MB,7.11 cm (2.8 inch) Quarter QVGA Display,2575 mAh Battery,1.3MP Rear Camera
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)",SAMSUNG, Galaxy M14 5G ,13570,4.2,24516,1537,6,GB,128,GB,16.76 cm (6.6 inch) Display,6000 mAh Battery,50MP Rear Camera
Kechaoda K60,Kechaoda, K6,1769,4.0,1727,155,3,MB,32,MB,6.1 cm (2.4 inch) QVGA Display,3600 mAh Battery,0.3MP Rear Camera | 0.3MP Front Camera
"OPPO A18 (Glowing Black, 64 GB)",OPPO, A18 ,8999,4.3,1432,70,4,GB,64,GB,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,8MP + 2MP | 5MP Front Camera
"OPPO A18 (Glowing Blue, 128 GB)",OPPO, A18 ,9499,4.3,1432,70,4,GB,128,GB,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,8MP + 2MP | 5MP Front Camera
"REDMI 12 5G (Jade Black, 128 GB)",REDMI, 12 5G ,17999,4.2,44521,2061,6,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"realme Narzo N53 (Feather Gold, 128 GB)",realme, Narzo N53 ,9800,4.2,4901,249,6,GB,128,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
"realme Narzo N53 (Feather Gold, 64 GB)",realme, Narzo N53 ,8899,4.2,8957,444,4,GB,64,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
itel SG200 Keypad Phone with 1200mAh Battery 1.3 MP Camera 1.8 inch Display UPI Pay,itel, SG200 Keypad Phone with 1200mAh Battery 1.3 MP Camera 1.8 inch Display UPI Pa,1140,3.9,97,4,4,MB,4,MB,6.1 cm (2.4 inch) Display,1200 mAh Battery,0.3MP Rear Camera
"OnePlus 12R (Sunset Dune, 256 GB)",OnePlus, 12R ,37591,4.5,4208,290,8,GB,256,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
"REDMI 13C (Starfrost White, 128 GB)",REDMI, 13C ,8460,4.2,32801,1383,4,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"REDMI 13 5G (Hawaiian Blue, 128 GB)",REDMI, 13 5G ,14665,4.1,29,1,8,GB,128,GB,17.25 cm (6.79 inch) Display,5030 mAh Battery,108MP Rear Camera
"realme 12 5G (Woodland Green, 128 GB)",realme, 12 5G ,17999,4.3,1873,107,8,GB,128,GB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 8MP Front Camera
Nokia 106,Nokia, 10,1498,4.0,2061,115,3,MB,32,MB,17.02 cm (6.7 inch) Display,,
itel SG200 Keypad Phone with 1200mAh Battery 1.3 MP Camera 1.8 inch Display UPI Pay,itel, SG200 Keypad Phone with 1200mAh Battery 1.3 MP Camera 1.8 inch Display UPI Pa,1265,3.9,97,4,4,MB,4,MB,6.1 cm (2.4 inch) Display,1200 mAh Battery,0.3MP Rear Camera
"itel P55 5G |50MP Dual Rear Camera|5000mAh Battery|Expandable Upto 1 TB (Mint Green, 64 GB)",itel, P55 5G |50MP Dual Rear Camera|5000mAh Battery|Expandable Upto 1 TB ,8955,4.2,929,62,4,GB,64,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
