Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"vivo T2x 5G (Glimmer Black, 128 GB)",vivo, T2x 5G ,14999,4.3,73632,4283,8,GB,128,GB,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"vivo T2x 5G (Aurora Gold, 128 GB)",vivo, T2x 5G ,12999,4.4,428912,23240,6,GB,128,GB,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"vivo T2x 5G (Marine Blue, 128 GB)",vivo, T2x 5G ,14999,4.3,73632,4283,8,GB,128,GB,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"vivo T2x 5G (Glimmer Black, 128 GB)",vivo, T2x 5G ,14990,4.4,428912,23240,6,GB,128,GB,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"itel Aura 05i|Leather Finish|4000 Mah Battery|Type C Charging Support (Nebula Black, 32 GB)",itel, Aura 05i|Leather Finish|4000 Mah Battery|Type C Charging Support ,5699,4.0,714,19,2,GB,32,GB,16.76 cm (6.6 inch) HD+ Display,4000 mAh Battery,5MP + 0.8MP | 5MP Front Camera
"itel Aura 05i|Leather Finish|4000 Mah Battery|Type C Charging Support (Meadow Green, 32 GB)",itel, Aura 05i|Leather Finish|4000 Mah Battery|Type C Charging Support ,5749,4.0,714,19,2,GB,32,GB,16.76 cm (6.6 inch) HD+ Display,4000 mAh Battery,5MP + 0.3MP | 2MP Front Camera
"itel Aura 05i|Leather Finish|4000 Mah Battery|Type C Charging Support (Crystal Blue, 32 GB)",itel, Aura 05i|Leather Finish|4000 Mah Battery|Type C Charging Support ,5749,4.0,714,19,2,GB,32,GB,16.94 cm (6.67 inch) HD+ Display,4000 mAh Battery,5MP + 0.3MP | 2MP Front Camera
"vivo T2x 5G (Aurora Gold, 128 GB)",vivo, T2x 5G ,11999,4.4,180010,9261,4,GB,128,GB,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"IQOO Z9X (Storm Grey, 128 GB)",IQOO, Z9X ,15948,4.4,363,8,8,GB,128,GB,17.07 cm (6.72 inch) Display,6000 mAh Battery,50MP Rear Camera
"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB)",SAMSUNG, Galaxy M35 5G ,18297,5.0,4,0,6,GB,128,GB,16.76 cm (6.6 inch) Display,6000 mAh Battery,50MP Rear Camera
itel U30 keypad Mobile|1200 mAh battery|Expandable Storage Upto 32GB,itel, U30 keypad Mobile|1200 mAh battery|Expandable Storage Upto 32G,999,3.9,279,10,3,GB,32,GB,4.57 cm (1.8 inch) QVGA Display,1200 mAh Battery,0.3MP + 0MP | 0MP Front Camera
"Infinix Note 40 Pro 5G (Obsidian Black, 256 GB)",Infinix, Note 40 Pro 5G ,21999,4.0,8192,619,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,108MP (OIS) + 2MP + 2MP | 32MP Front Camera
Kechaoda K66 The Music House 4,Kechaoda, K66 The Music House ,1169,3.9,21320,1477,3,MB,64,MB,4.57 cm (1.8 inch) QVGA Display,400 mAh Battery,1.3MP + 0MP | 0MP Front Camera
itel Ace2 lite Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,itel, Ace2 lite Keypad Mobile| 1000 mAh Battery|Expandable Storage 32G,999,3.9,249,13,3,GB,32,GB,4.57 cm (1.8 inch) QVGA Display,1000 mAh Battery,
"POCO F6 5G (Titanium, 256 GB)",POCO, F6 5G ,29999,4.2,1407,149,1,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP (OIS) + 8MP | 20MP Front Camera
"vivo V30e (Silk Blue, 256 GB)",vivo, V30e ,29740,4.4,2790,202,8,GB,256,GB,17.22 cm (6.78 inch) Full HD+ Display,5500 mAh Battery,50MP + 8MP | 50MP Front Camera
"realme C53 (Champion Black, 128 GB)",realme, C53 ,9999,4.1,23887,1558,4,GB,128,GB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,108MP + 2MP | 8MP Front Camera
"Nokia 2660 Flip 4G Volte Red keypad Mobile with Dual Sim & Screen, MP3 Player",Nokia," 2660 Flip 4G Volte Red keypad Mobile with Dual Sim & Screen, MP3 Playe",5049,4.0,466,23,0,MB,,MB,7.11 cm (2.8 inch) QVGA Display,1450 mAh Lithium Ion Battery,0.3MP Rear Camera
"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)",SAMSUNG, Galaxy S21 FE 5G ,39999,4.3,144411,13812,8,GB,128,GB,16.26 cm (6.4 inch) Full HD+ Display,4500 mAh Lithium-ion Battery,12MP + 12MP + 8MP (OIS) | 32MP Front Camera
"vivo T2x 5G (Sunstone Orange, 128 GB)",vivo, T2x 5G ,18999,4.4,428912,23240,6,GB,128,GB,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",SAMSUNG, Galaxy F14 5G ,11990,4.2,118628,8448,6,GB,128,GB,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Battery,50MP + 2MP | 13MP Front Camera
"IQOO Z9 Lite 5G (Mocha Brown, 128 GB)",IQOO, Z9 Lite 5G ,11202,0.0,0,0,4,GB,128,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,50MP Rear Camera
"IQOO Z9 Lite 5G (?Aqua Flow, 128 GB)",IQOO, Z9 Lite 5G ,11100,0.0,0,0,4,GB,128,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,50MP Rear Camera
