Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"POCO C61 (Mystical Green, 64 GB)",POCO, C61 ,6499,4.2,12493,393,4,GB,64,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"realme P1 5G (Phoenix Red, 128 GB)",realme, P1 5G ,16999,4.3,11141,629,8,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"realme P1 5G (Peacock Green, 256 GB)",realme, P1 5G ,18999,4.3,11141,629,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"realme P1 5G (Phoenix Red, 256 GB)",realme, P1 5G ,18999,4.3,11141,629,8,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)",SAMSUNG, Galaxy S23 FE ,39999,4.3,10926,736,8,GB,128,GB,16.26 cm (6.4 inch) Full HD+ Display,4500 mAh Battery,50MP + 12MP | 10MP Front Camera
"realme 12x 5G (Twilight Purple, 128 GB)",realme, 12x 5G ,11999,4.1,7516,445,4,GB,128,GB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"realme P1 5G (Peacock Green, 128 GB)",realme, P1 5G ,15999,4.3,22214,1401,6,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"Apple iPhone 14 Plus (Midnight, 128 GB)",Apple, iPhone 14 Plus ,56499,4.6,76515,4292,,GB,,GB,17.02 cm (6.7 inch) Super Retina XDR Display,,12MP + 12MP | 12MP Front Camera
"Apple iPhone 14 Plus (Blue, 128 GB)",Apple, iPhone 14 Plus ,56499,4.6,76515,4292,,GB,,GB,17.02 cm (6.7 inch) Super Retina XDR Display,,12MP + 12MP | 12MP Front Camera
"Apple iPhone 15 (Green, 128 GB)",Apple, iPhone 15 ,66199,4.6,44348,2389,,GB,,GB,15.49 cm (6.1 inch) Super Retina XDR Display,,48MP + 12MP | 12MP Front Camera
"REDMI 13C 5G (Starlight Black, 128 GB)",REDMI, 13C 5G ,10499,4.3,12928,426,4,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"Infinix HOT 40i (Horizon Gold, 256 GB)",Infinix, HOT 40i ,8999,4.1,12172,739,8,GB,256,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,50MP + AI Lens | 32MP Front Camera
itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,itel, Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32G,899,4.0,5122,354,4,GB,4,GB,4.57 cm (1.8 inch) Quarter QVGA Display,1000 mAh Lithium Ion Battery,0MP Front Camera
"realme P1 5G (Phoenix Red, 128 GB)",realme, P1 5G ,15999,4.3,22214,1401,6,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"REDMI 13C 5G (Startrail Silver, 128 GB)",REDMI, 13C 5G ,10499,4.3,12928,426,4,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"REDMI 12 5G (Pastel Blue, 128 GB)",REDMI, 12 5G ,12499,4.2,44521,2061,6,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)",SAMSUNG, Galaxy F34 5G ,12999,4.2,41644,3140,6,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,50MP (OIS) + 8MP + 2MP | 13MP Front Camera
"POCO M6 5G - Locked with Airtel Prepaid (Orion Blue, 128 GB)",POCO, M6 5G - Locked with Airtel Prepaid ,8249,4.1,35498,1968,4,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"Infinix HOT 40i (Palm Blue, 256 GB)",Infinix, HOT 40i ,8999,4.1,12172,739,8,GB,256,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,50MP + AI Lens | 32MP Front Camera
itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,itel, it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoic,1438,4.0,2252,121,3,MB,32,MB,7.11 cm (2.8 inch) Quarter QVGA Display,1900 mAh Battery,0.8MP + 0MP | 0MP Front Camera
"realme 12x 5G (Woodland Green, 128 GB)",realme, 12x 5G ,11999,4.1,7516,445,4,GB,128,GB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"Motorola g64 5G (Mint Green, 256 GB)",Motorola, g64 5G ,16999,4.2,12547,758,1,GB,256,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,50MP (OIS) + 8MP | 16MP Front Camera
"realme C63 (Jade Green, 128 GB)",realme, C63 ,8999,4.3,763,30,4,GB,128,GB,17.13 cm (6.745 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,itel, it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoic,1484,4.0,2252,121,3,MB,32,MB,7.11 cm (2.8 inch) Quarter QVGA Display,1900 mAh Battery,0.8MP + 0MP | 0MP Front Camera
