Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"REDMI Note 13 Pro 5G (Midnight Black, 256 GB)",REDMI, Note 13 Pro 5G ,23312,4.3,17032,1520,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"realme 12 Pro+ 5G (Explorer Red, 256 GB)",realme, 12 Pro+ 5G ,31999,4.4,17122,2194,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 64MP | 32MP Front Camera
"OPPO F21 Pro (Sunset Orange, 128 GB)",OPPO, F21 Pro ,14999,4.3,6411,441,8,GB,128,GB,16.33 cm (6.43 inch) Display,4500 mAh Battery,64MP Rear Camera | 32MP Front Camera
"realme 12 Pro+ 5G (Navigator Beige, 256 GB)",realme, 12 Pro+ 5G ,31999,4.4,17122,2194,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 64MP | 32MP Front Camera
Motorola a10,Motorola, a1,1399,4.2,8165,833,0,MB,,MB,4.57 cm (1.8 inch) Quarter QVGA Display,,
"OnePlus Nord 3 5G (Misty Green, 128 GB)",OnePlus, Nord 3 5G ,21229,4.3,11467,951,8,GB,128,GB,17.12 cm (6.74 inch) Display,5000 mAh Battery,50MP Rear Camera
"realme NARZO 70 5G (ICE BLUE, 128 GB)",realme, NARZO 70 5G ,15993,4.2,394,19,8,GB,128,GB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,5000 mAh Battery,50MP Rear Camera | 16MP Front Camera
"POCO X6 Pro 5G (Yellow, 512 GB)",POCO, X6 Pro 5G ,25999,4.3,8782,1142,1,GB,512,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"POCO M6 5G (Polaris Green, 64 GB)",POCO, M6 5G ,8799,4.1,35498,1968,4,GB,64,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"realme GT 6T 5G (Fluid Silver, 256 GB)",realme, GT 6T 5G ,33404,4.4,180,15,1,GB,256,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)",SAMSUNG, Galaxy M34 5G ,16999,4.2,408,18,8,GB,128,GB,16.51 cm (6.5 inch) Display,6000 mAh Battery,50MP Rear Camera
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)",SAMSUNG, Galaxy A14 5G ,14499,4.1,8364,551,6,GB,128,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium Ion Battery,50MP + 2MP | 13MP Front Camera
"REDMI 13 5G (Black Diamond, 128 GB)",REDMI, 13 5G ,15290,4.4,73,3,6,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5030 mAh Battery,108MP Rear Camera
"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)",SAMSUNG, Galaxy S23 5G ,53999,4.5,11964,1135,8,GB,256,GB,15.49 cm (6.1 inch) Full HD+ Display,3900 mAh Lithium Ion Battery,50MP + 10MP + 12MP | 12MP Front Camera
itel Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64GB,itel, Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64G,2954,3.9,12934,1232,6,GB,128,GB,6.1 cm (2.4 inch) Display,2500 mAh Battery,0.3MP Rear Camera
Kechaoda A26,Kechaoda, A2,1099,4.0,22205,1376,3,MB,32,MB,1.68 cm (0.66 inch) Display,,
"realme 12 Pro+ 5G (Submarine Blue, 256 GB)",realme, 12 Pro+ 5G ,31999,4.4,17122,2194,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 64MP | 32MP Front Camera
"realme 12 Pro+ 5G (Submarine Blue, 128 GB)",realme, 12 Pro+ 5G ,29999,4.4,17122,2194,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 64MP | 32MP Front Camera
"realme 12 Pro+ 5G (Explorer Red, 256 GB)",realme, 12 Pro+ 5G ,33999,4.4,5736,636,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 64MP | 32MP Front Camera
"OnePlus Nord 3 5G (Tempest Gray, 128 GB)",OnePlus, Nord 3 5G ,22881,4.3,11467,951,8,GB,128,GB,17.12 cm (6.74 inch) Full HD+ Display,5000 mAh Battery,50MP Rear Camera
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)",OnePlus, Nord CE 2 Lite 5G ,16587,4.4,160998,10802,6,GB,128,GB,16.74 cm (6.59 inch) Display,5000 mAh Battery,64MP Rear Camera | 16MP Front Camera
"Nokia C22 (Charcoal, 64 GB)",Nokia, C22 ,5999,3.6,311,5,2,GB,64,GB,16.51 cm (6.5 inch) Display,5000 mAh Battery,13MP Rear Camera
"IQOO Z9 5G (Brushed Green, 256 GB)",IQOO, Z9 5G ,21290,4.4,1708,89,8,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,50MP Rear Camera
KARBONN KX3 Star DS Keypad Mobile|1000 mAh Battery|0.3MP Camera|Expandable Upto 32 GB,KARBONN, KX3 Star DS Keypad Mobile|1000 mAh Battery|0.3MP Camera|Expandable Upto 32 G,951,3.7,157,13,3,GB,32,GB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
