Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
KARBONN Jumbo K9,KARBONN, Jumbo K,1235,4.0,14934,1420,,MB,,MB,6.1 cm (2.4 inch) FWVGA Display,1800 mAh Li-Ion Battery,1.3MP + 0MP | 2MP Front Camera
"realme 12 Pro 5G (Navigator Beige, 128 GB)",realme, 12 Pro 5G ,22999,4.4,21122,2099,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 32MP | 16MP Front Camera
Kechaoda A26,Kechaoda, A2,969,4.0,22205,1376,3,MB,32,MB,1.68 cm (0.66 inch) QVGA Display,800 mAh Battery,0MP | 0MP Front Camera
"LAVA Hero Glow DS Keypad Mobile, FM Radio, Call Recording,Expandable Upto 32 GB",LAVA," Hero Glow DS Keypad Mobile, FM Radio, Call Recording,Expandable Upto 32 G",949,4.1,488,28,4,GB,3,GB,4.57 cm (1.8 inch) QVGA Display,,
"REDMI Note 13 5G (Stealth Black, 256 GB)",REDMI, Note 13 5G ,18874,4.1,2029,126,1,GB,256,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,108MP Rear Camera
"IQOO Z7 Pro 5G (Blue Lagoon, 256 GB)",IQOO, Z7 Pro 5G ,23999,4.4,5486,343,8,GB,256,GB,17.22 cm (6.78 inch) Display,4600 mAh Battery,64MP + 2MP | 16MP Front Camera
"realme C65 5G (Feather Green, 128 GB)",realme, C65 5G ,11499,4.1,1974,85,4,GB,128,GB,16.94 cm (6.67 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"realme 12 Pro 5G (Navigator Beige, 256 GB)",realme, 12 Pro 5G ,24999,4.4,5982,345,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 32MP | 16MP Front Camera
"realme 12 Pro 5G (Submarine Blue, 256 GB)",realme, 12 Pro 5G ,24999,4.4,5982,345,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 32MP | 16MP Front Camera
"REDMI Note 13 5G (Stealth Black, 128 GB)",REDMI, Note 13 5G ,19999,4.2,10577,639,6,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP Rear Camera
LAVA A3 Vibe,LAVA, A3 Vib,1299,4.2,29743,2911,4,MB,3,MB,4.5 cm (1.77 inch) Display,1750 mAh Battery,0.3MP Rear Camera | 0.3MP Front Camera
"LAVA Z33 (Blue, 32 GB)",LAVA, Z33 ,5499,3.9,271,7,3,GB,32,GB,16.51 cm (6.5 inch) Display,5000 mAh Battery,8MP Rear Camera
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)",SAMSUNG, Galaxy F15 5G ,12999,4.2,8049,692,4,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,50MP + 5MP + 2MP | 13MP Front Camera
"POCO X6 5G (Snowstorm White, 256 GB)",POCO, X6 5G ,18999,4.2,12505,1499,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"realme 12 Pro 5G (Navigator Beige, 256 GB)",realme, 12 Pro 5G ,26999,4.4,21122,2099,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 32MP | 16MP Front Camera
"POCO C61  - Locked with Airtel Prepaid (Diamond Dust Black, 64 GB)",POCO, C61  - Locked with Airtel Prepaid ,5999,4.2,12493,393,4,GB,64,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"POCO X6 5G (Mirror Black, 256 GB)",POCO, X6 5G ,18999,4.2,12505,1499,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"REDMI Note 13 Pro 5G (Coral Purple, 256 GB)",REDMI, Note 13 Pro 5G ,24998,4.2,2516,225,1,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
Kechaoda K115,Kechaoda, K11,1060,4.1,35866,2495,3,MB,32,MB,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,0.3MP + 0MP | 0MP Front Camera
Nokia 105 DS 2020,Nokia, 105 DS 202,1472,4.1,29047,2124,4,MB,4,MB,4.5 cm (1.77 inch) Quarter QVGA Display,,
"SAMSUNG Galaxy S23 FE (Mint, 256 GB)",SAMSUNG, Galaxy S23 FE ,44999,4.3,10926,736,8,GB,256,GB,16.26 cm (6.4 inch) Full HD+ Display,4500 mAh Battery,50MP + 12MP | 10MP Front Camera
"IQOO Z7 Pro 5G (Blue Lagoon, 128 GB)",IQOO, Z7 Pro 5G ,22999,4.4,5486,343,8,GB,128,GB,17.22 cm (6.78 inch) Display,4600 mAh Battery,64MP + 2MP | 16MP Front Camera
Kechaoda A26,Kechaoda, A2,950,4.0,22205,1376,3,MB,32,MB,1.68 cm (0.66 inch) FWVGA Display,,
"SAMSUNG Galaxy S23 5G (Green, 256 GB)",SAMSUNG, Galaxy S23 5G ,53999,4.5,11964,1135,8,GB,256,GB,15.49 cm (6.1 inch) Full HD+ Display,3900 mAh Lithium Ion Battery,50MP + 10MP + 12MP | 12MP Front Camera
