Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)",SAMSUNG, Galaxy S23 5G ,48999,4.5,11964,1135,8,GB,128,GB,15.49 cm (6.1 inch) Full HD+ Display,3900 mAh Lithium Ion Battery,50MP + 10MP + 12MP | 12MP Front Camera
I Kall K41-New with four sim support,I, Kall K41-New with four sim suppor,1841,4.0,174,8,3,MB,32,MB,6.1 cm (2.4 inch) Display,4000 mAh Battery,0.3MP Rear Camera
"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)",SAMSUNG, Galaxy M34 5G ,14455,4.2,2079,144,6,GB,128,GB,16.51 cm (6.5 inch) Display,6000 mAh Battery,50MP Rear Camera
"Motorola G85 5G (Cobalt Blue, 256 GB)",Motorola, G85 5G ,19999,4.5,2151,125,1,GB,256,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP | 32MP Front Camera
GFive A2-C,GFive, A2-,699,0.0,0,0,3,MB,32,MB,4.57 cm (1.8 inch) FWVGA Display,1000 mAh Battery,0.3MP Rear Camera
"LAVA A5 2023 Keypad Mobile, LED Torch, FM Radio,Call Recording, Expandable Upto 32 GB",LAVA," A5 2023 Keypad Mobile, LED Torch, FM Radio,Call Recording, Expandable Upto 32 G",1208,4.2,65,3,3,GB,24,GB,6.1 cm (2.4 inch) QVGA Display,1000 mAh Battery,0.3MP Rear Camera
GFive A2-C,GFive, A2-,699,0.0,0,0,3,MB,32,MB,4.57 cm (1.8 inch) FWVGA Display,1000 mAh Battery,0.3MP Rear Camera
"REDMI A3 (Olive Green, 128 GB)",REDMI, A3 ,8538,4.0,596,34,6,GB,128,GB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera
"OnePlus 12R (Cool Blue, 128 GB)",OnePlus, 12R ,38999,4.5,4208,290,8,GB,128,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)",SAMSUNG, Galaxy S23 5G ,53999,4.5,11964,1135,8,GB,256,GB,15.49 cm (6.1 inch) Full HD+ Display,3900 mAh Lithium Ion Battery,50MP + 10MP + 12MP | 12MP Front Camera
"realme narzo 70 5G (Ice Blue, 128 GB)",realme, narzo 70 5G ,15474,4.3,386,23,6,GB,128,GB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,5000 mAh Battery,50MP Rear Camera
"realme NARZO 70X 5G (Ice Blue, 128 GB)",realme, NARZO 70X 5G ,14129,4.2,150,9,8,GB,128,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,50MP Rear Camera
"POCO X6 Pro 5G (Spectre Black, 512 GB)",POCO, X6 Pro 5G ,25999,4.3,8782,1142,1,GB,512,GB,16.94 cm (6.67 inch) Display,5000 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera
"OnePlus 12R (Iron Grey, 256 GB)",OnePlus, 12R ,43462,4.5,2182,140,1,GB,256,GB,17.22 cm (6.78 inch) Display,5500 mAh Battery,50MP Rear Camera
