Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
Jio Bharat B2,Jio, Bharat B,1649,3.4,34,0,3,MB,36,MB,6.1 cm (2.4 inch) QVGA Display,2000 mAh Battery,0.3MP Rear Camera
BlackZone ECO X,BlackZone, ECO ,1569,4.0,8539,522,3,MB,32,MB,4.5 cm (1.77 inch) NA Display,1100 mAh Battery,0.3MP Rear Camera
itel it5262,itel, it526,1399,3.9,109,2,4,MB,4,MB,6.1 cm (2.4 inch) Display,2000 mAh Battery,0.8MP Rear Camera
GFive A1-C,GFive, A1-,699,0.0,0,0,3,MB,32,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
GFive A1-C,GFive, A1-,699,0.0,0,0,3,MB,32,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
GFive A1-C,GFive, A1-,699,0.0,0,0,3,MB,32,MB,4.57 cm (1.8 inch) Display,1000 mAh Battery,0.3MP Rear Camera
Kechaoda K66 The Music House 4,Kechaoda, K66 The Music House ,1167,3.9,21320,1477,3,MB,64,MB,3.66 cm (1.44 inch) QVGA Display,400 mAh Battery,1.3MP + 0MP | 0MP Front Camera
"vivo T2x 5G (Black Gladiator, 128 GB)",vivo, T2x 5G ,17999,4.4,180010,9261,4,GB,128,GB,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"REDMI Note 13 Pro 5G (Midnight Black, 256 GB)",REDMI, Note 13 Pro 5G ,25718,4.2,2516,225,1,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB)",Samsung, Galaxy S21 FE 5G with Snapdragon 888 ,45999,4.3,144411,13812,8,GB,128,GB,16.26 cm (6.4 inch) Full HD+ Display,4500 mAh Lithium-ion Battery,12MP + 12MP + 8MP (OIS) | 32MP Front Camera
itel it5262,itel, it526,1399,3.9,109,2,4,MB,4,MB,6.1 cm (2.4 inch) Display,2000 mAh Battery,0.8MP Rear Camera
"itel S23 (Starry Black, 128 GB)",itel, S23 ,7345,4.0,852,39,8,GB,128,GB,16.51 cm (6.5 inch) Display,5000 mAh Battery,50MP Rear Camera
"REDMI 12 (Moonstone Silver, 128 GB)",REDMI, 12 ,9175,4.2,49813,3316,6,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 2MP | 8MP Front Camera
"SAMSUNG Galaxy A15 5G (Blue Black, 128 GB)",SAMSUNG, Galaxy A15 5G ,17999,4.3,104,3,6,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Battery,50MP + 5MP + 2MP | 13MP Front Camera
Kechaoda K115,Kechaoda, K11,1090,4.1,35866,2495,3,MB,32,MB,3.66 cm (1.44 inch) NA Display,850 mAh Battery,0.3MP + 0MP | 0MP Front Camera
KARBONN K9,KARBONN, K,1251,4.1,8816,705,,MB,,MB,,,
LAVA A7 Torch,LAVA, A7 Torc,1329,4.2,3001,342,3,MB,24,MB,6.1 cm (2.4 inch) QVGA Display,2575 mAh Battery,0.3MP Rear Camera
"realme Narzo N55 (Prime Blue, 64 GB)",realme, Narzo N55 ,10960,4.3,2832,158,4,GB,64,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,64MP Rear Camera
"vivo Y18e (Space Black, 64 GB)",vivo, Y18e ,7999,4.1,432,12,4,GB,64,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,13MP + 0.08MP | 5MP Front Camera
"Apple iPhone 15 Plus (Green, 128 GB)",Apple, iPhone 15 Plus ,73999,4.6,7608,633,,GB,,GB,17.02 cm (6.7 inch) Super Retina XDR Display,,48MP + 12MP | 12MP Front Camera
KARBONN K9 Yuva Keypad Mobile| 2500 mAh Battery|2MP Camera|Expandable Memory up to 32GB,KARBONN, K9 Yuva Keypad Mobile| 2500 mAh Battery|2MP Camera|Expandable Memory up to 32G,1150,3.8,1641,98,6,GB,32,GB,4.57 cm (1.8 inch) QVGA Display,2502 mAh Battery,2MP Rear Camera
"Tecno Spark 20C (Mystery White, 128 GB)",Tecno, Spark 20C ,7999,4.1,66,3,8,GB,128,GB,16.76 cm (6.6 inch) HD Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"SAMSUNG Galaxy A15 5G (Light Blue, 128 GB)",SAMSUNG, Galaxy A15 5G ,19199,4.2,1331,90,8,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Battery,50MP + 5MP + 2MP | 13MP Front Camera
KARBONN K531 Dual Sim Keypad Phone|1750 mAh Battery|0.3MP Camera|Expandable Upto 32 GB,KARBONN, K531 Dual Sim Keypad Phone|1750 mAh Battery|0.3MP Camera|Expandable Upto 32 G,1341,3.9,1530,111,3,GB,32,GB,6.1 cm (2.4 inch) Quarter QVGA Display,1800 mAh Battery,0.3MP Rear Camera
