Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"itel A23S (Sky Cyan, 32 GB)",itel, A23S ,4590,3.6,988,59,2,GB,32,GB,12.7 cm (5 inch) Display,3020 mAh Battery,2MP Rear Camera
"Motorola g54 5G (Mint Green, 128 GB)",Motorola, g54 5G ,14999,4.2,95660,8903,8,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,50MP (OIS) + 8MP | 16MP Front Camera
"REDMI 13C (Stardust Black, 128 GB)",REDMI, 13C ,9230,4.2,10518,440,6,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"Nokia C32 (Charcoal, 128 GB)",Nokia, C32 ,7999,3.8,1330,113,4,GB,128,GB,16.55 cm (6.517 inch) Display,5000 mAh Battery,50MP Rear Camera | 8MP Front Camera
"itel A23S (Sky Black, 32 GB)",itel, A23S ,4999,3.6,988,59,2,GB,32,GB,12.7 cm (5 inch) Display,3020 mAh Battery,2MP Rear Camera
"itel A70 (Brilliant Gold, 256 GB)",itel, A70 ,8009,3.9,287,16,1,GB,256,GB,16.76 cm (6.6 inch) Display,5000 mAh Battery,13MP Rear Camera
"Nokia 225 4G DS Keypad Mobile with Long Battery Life,Built-in Camera",Nokia," 225 4G DS Keypad Mobile with Long Battery Life,Built-in Camer",3999,3.7,14214,1372,6,MB,128,MB,6.1 cm (2.4 inch) QVGA Display,1150 mAh Lithium-ion Battery,0.3MP Rear Camera
"REDMI Note 13 5G (Prism Gold, 128 GB)",REDMI, Note 13 5G ,16999,4.2,10642,643,6,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,108MP + 2MP | 16MP Front Camera
Kechaoda K200,Kechaoda, K20,1099,3.9,262,8,3,MB,32,MB,3.3 cm (1.3 inch) Display,400 mAh Battery,0.3MP Rear Camera
"REDMI Note 13 Pro 5G (Coral Purple, 256 GB)",REDMI, Note 13 Pro 5G ,23329,4.3,17032,1520,8,GB,256,GB,16.94 cm (6.67 inch) Display,5100 mAh Battery,200MP (OIS) + 8MP + 2MP | 16MP Front Camera
UiSmart Ferrari,UiSmart, Ferrar,1528,3.8,134,13,3,MB,32,MB,4.32 cm (1.7 inch) QVGA Display,1200 mAh Battery,2MP + 0MP | 0MP Front Camera
KARBONN K9 Victory,KARBONN, K9 Victor,1440,3.8,136,10,3,MB,32,MB,6.1 cm (2.4 inch) FWVGA Display,2500 mAh Battery,0MP | 2MP Front Camera
KARBONN K9 Victory,KARBONN, K9 Victor,1440,3.8,136,10,3,MB,32,MB,6.1 cm (2.4 inch) FWVGA Display,2500 mAh Battery,0MP | 2MP Front Camera
Kechaoda 888,Kechaoda, 88,1760,4.2,464,38,6,MB,32,MB,4.57 cm (1.8 inch) Display,,
"Apple iPhone 13 (Blue, 128 GB)",Apple, iPhone 13 ,52999,4.6,283149,13688,,GB,,GB,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP | 12MP Front Camera
KARBONN K9,KARBONN, K,1284,4.1,8816,705,,MB,,MB,6.1 cm (2.4 inch) FWVGA Display,1800 mAh 1800 mAh Battery Battery,1.3MP + 0MP | 2MP Front Camera
"Motorola G60 (Soft Silver, 128 GB)",Motorola, G60 ,14999,4.1,78499,7700,6,GB,128,GB,17.22 cm (6.78 inch) Full HD+ Display,6000 mAh Battery,108MP + 8MP + 2MP | 32MP Front Camera
"Micromax IN Note 1 (Green, 128 GB)",Micromax, IN Note 1 ,10999,4.1,50164,8284,4,GB,128,GB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Li-Polymer Battery,48MP + 5MP + 2MP + 2MP | 16MP Front Camera
SAREGAMA Carvaan Mobile Bengali Don M22 with 1000 Pre-Loaded Songs,SAREGAMA, Carvaan Mobile Bengali Don M22 with 1000 Pre-Loaded Song,2090,4.2,13,0,3,MB,,MB,6.1 cm (2.4 inch) Display,1500 mAh Battery,0.3MP Rear Camera
SAREGAMA Carvaan Mobile Bengali Don M22 with 1000 Pre-Loaded Songs,SAREGAMA, Carvaan Mobile Bengali Don M22 with 1000 Pre-Loaded Song,2090,4.2,13,0,3,MB,,MB,6.1 cm (2.4 inch) Display,1500 mAh Battery,0.3MP Rear Camera
"vivo T2 5G (Velocity Wave, 128 GB)",vivo, T2 5G ,17999,4.3,19075,1313,8,GB,128,GB,16.21 cm (6.38 inch) Full HD+ Display,4500 mAh Battery,64 MP (OIS) + 2MP | 16MP Front Camera
"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)",SAMSUNG, Galaxy A55 5G ,48999,4.3,114,9,1,GB,256,GB,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Battery,50MP + 12MP + 5MP | 32MP Front Camera
Micromax X413,Micromax, X41,933,4.0,4838,363,3,MB,32,MB,4.5 cm (1.77 inch) Display,800 mAh Battery,0.3MP Rear Camera
"OPPO F25 Pro 5G (Lava Red, 256 GB)",OPPO, F25 Pro 5G ,25999,4.3,3596,296,8,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,64MP + 8MP + 2MP | 32MP Front Camera
